name,score,document_length,url_count,electronic component,electronic part,power supply,switch,transmitter
Ablerex Electronics Co Ltd,0.010425156805851578,1594,4,0,0,1,4,0
Yleiselektroniikka Oyj,0.01038889812716242,3550,5,4,0,2,2,0
"HAGIWARA ELECTRIC CO., LTD.",0.010339393788516347,2155,4,1,0,0,5,0
Yuyang D&U Co Ltd,0.009882202755329337,3365,6,0,0,11,0,0
"MEIJI ELECTRIC INDUSTRIES CO., LTD.",0.009599837905037054,4222,2,0,0,1,7,0
Shenzhen Kstar Science And Technology,0.009256539638282942,2394,6,0,0,10,0,0
"NADEX CO., LTD.",0.008828478689930985,2296,2,3,0,1,0,0
"MORIO DENKI CO., LTD.",0.00862173803039668,5022,5,2,0,0,16,0
GS Yuasa Corporation,0.008232515680395559,3048,4,0,0,7,1,0
Lumax International Corp. Ltd.,0.008217547680776358,1452,2,2,0,0,3,0
AIKO CORPORATION,0.0072618903941016645,3006,4,2,0,0,4,0
Petrosetco Distribution Joint Stock Co,0.007158905112055682,3123,1,1,2,0,0,0
Solomon Technology Corporation,0.00715889700912387,3650,5,5,0,0,2,0
Wenzhou Hongfeng Electrical Alloy Co Ltd,0.007149253229672514,2331,3,2,0,0,4,0
MARUBUN CORPORATION,0.006922435322500586,2550,3,5,0,0,0,0
Excel Co Ltd,0.006646383198587804,2916,3,4,0,0,2,0
Hunan Zhongpu Lightning Prtection Co Ltd,0.006592984299004557,2635,5,0,0,11,0,0
Beijing Zhong-Ke Clm El Etrc Tech Co Ltd,0.00651608401362586,3532,1,0,0,1,3,0
"Victek Co., Ltd.",0.006512558713512533,2143,3,0,0,5,0,0
Neways Electronics International NV,0.006338991206234352,3761,4,8,0,0,0,0
Formosa Electronic Industries Inc,0.00617121991948008,1865,2,0,0,4,0,0
Amara Raja Batteries Ltd,0.006169893647151101,2411,3,0,0,3,1,0
Global Electrical Technology Corp,0.006116330895295356,3113,4,0,0,5,2,0
Daetwyler Holding AG,0.006034134908502731,3545,5,5,0,0,0,0
Serial System Ltd,0.006033138442382884,3981,3,7,0,0,0,0
"Toshin Group Co., Ltd.",0.0059292945545625165,3185,5,0,0,0,6,0
Choo Chiang Holdings Ltd,0.005883159620180036,3786,4,0,0,0,8,0
Hold Jinn Electronics Co Ltd,0.005710398230526387,2853,2,1,0,1,1,0
