name,score,document_length,url_count,automobile,bus,city bus,coach,hybrid
Sazgar Engineering Works Ltd,0.0009368603941150524,2308,5,7,2,0,0,0
Shanghai Lianming Machinery Co Ltd,0.0008699426079108683,3621,7,5,17,0,0,0
PACCAR Inc,0.0008337781255034671,5736,6,0,18,0,0,1
A-Jin Industry Co Ltd,0.0008103963308065075,4819,7,6,25,0,0,0
Ford Otomotiv Sanayi AS,0.0008077317030494686,3054,4,5,12,0,0,0
Minth Group Limited,0.0007700310360482404,1123,1,4,2,0,0,0
Atul Auto Ltd,0.0006421150846925973,3218,4,3,6,0,0,0
Morita Holdings Corp,0.0005883356449438958,2836,6,3,32,0,0,0
Zhejiang Noblelift Equipment JS Co Ltd,0.0005181641010274109,3444,4,3,10,0,0,0
Greenkraft Inc,0.00039126840268273867,3167,4,3,6,0,0,0
EDAG Engineering Group AG,0.00031859486217303084,4411,7,3,14,0,0,0
EN3 Co Ltd,0.0002634072816047849,2049,4,2,24,0,0,0
Neftekamskiy avtozavod OAO (P),0.00018639964381327636,2784,9,1,33,0,0,0
SML Isuzu Ltd,0.00015359129627976547,5339,8,2,52,0,0,0
"KAMA CO., LTD.",0.00014316379024914612,3078,6,1,17,0,0,0
"KANEMATSU ENGINEERING CO., LTD.",0.0001369049516507725,3752,6,1,20,0,0,0
Motores Diesel Andinos SA,7.272907789953723e-05,8251,8,2,47,0,0,0
"Linhai Co., Ltd.",7.127752690649465e-05,6080,8,1,30,0,0,0
Zaporiz'kyi Avtomobil'nyi Zavod PAT,6.628301511267869e-05,7157,6,2,117,0,0,0
