name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
Rorze Systems Corporation,0.007662051488856715,1715,6,0,0,2,0,0,0,16,0
Korea Semiconductor System,0.0076098098668174515,1585,8,0,0,0,0,0,0,52,0
"TAZMO CO., LTD.",0.007606026269798213,1566,8,0,0,2,0,0,0,19,0
Jastech Ltd,0.00739546178691307,2785,5,0,0,0,0,0,0,7,2
Sunedison Semiconductor Ltd,0.007261559940760508,6621,13,0,0,0,0,0,0,169,0
"Mattson Technology, Inc.",0.007234567899491352,4849,9,0,0,0,1,0,0,43,0
MiCo Ltd,0.00721294263574511,1969,1,1,0,0,0,0,0,0,0
Protec Co Ltd,0.006278414743585601,1596,4,0,0,0,0,1,0,10,0
Japan Steel Works Ltd,0.0062237880023505105,3645,1,0,1,1,0,0,0,1,0
Union Semiconductor Equipment Co Ltd,0.006105345760726203,2883,9,0,0,0,0,0,0,60,0
Equis N Zaroo Co Ltd,0.005905227377514028,8855,2,0,0,0,0,1,4,2,0
CVD Equipment Corporation,0.005904497998734159,8756,10,0,0,0,0,0,3,44,0
Tes Co Ltd,0.005348576567506763,2313,3,0,0,1,0,0,0,5,0
Vessel Co Ltd,0.005107967777696,5143,2,0,1,2,0,0,0,5,0
Cymechs Inc,0.004964590463326667,3664,8,0,0,0,0,2,0,24,0
BE Semiconductor Industrs NV (USA),0.00495443224888691,2572,7,0,0,0,0,0,0,41,0
ASTI Holdings Limited,0.004569143073371082,4225,7,0,0,0,0,0,0,65,0
Hirata Corp,0.004228662923273602,2369,5,0,0,2,0,0,0,7,0
PSK Inc,0.0037578836057436628,1912,6,0,0,0,0,0,0,28,0
Tera Semicon Co Ltd,0.0037187498125977447,2222,6,0,0,0,0,0,0,34,0
ASM International NV (ADR),0.00344933857134198,2907,6,0,0,0,0,0,0,30,0
"TOKYO SEIMITSU CO., LTD.",0.003415763566415013,4803,11,0,0,0,0,0,0,58,0
LB Semicon Co Ltd,0.0031675864829265993,1999,7,0,0,0,0,0,0,25,0
Global Standard Technology Co Ltd,0.0031437513577005504,2039,7,0,0,0,0,0,0,27,0
"HOLON CO., LTD.",0.0030040210498722096,1182,8,0,0,0,0,0,0,17,0
Tex Holdings plc,0.0029557182654482623,1813,1,0,0,0,1,0,0,0,0
Manufacturing Integration Technology Ltd,0.0027066926234284644,2230,7,0,0,0,0,0,0,24,0
Genetec Technology Berhad,0.002520019695235891,6774,7,0,0,0,0,2,0,11,0
Max Automation AG,0.0024579053712490647,2794,1,0,0,0,1,0,0,0,0
Advanced Process Systems Corp,0.0024543113727814136,1691,5,0,0,0,0,0,0,16,0
Lung Lung Pien Vacuum Industry Co Ltd,0.002380844263046653,2841,1,0,0,0,1,0,0,0,0
GRAND PLASTIC TECHNOLOGY CORP,0.00231538580078994,1699,6,0,0,0,0,0,0,17,0
TSE Co Ltd,0.0023010861530487437,1215,10,0,0,0,0,0,0,15,0
ASML Holding NV,0.002293712258104798,9545,7,0,0,0,0,0,0,61,0
ISC Co Ltd,0.002292088959184756,2674,6,0,0,0,0,0,0,19,0
DA Technology Co Ltd,0.0021414242413240565,4037,2,0,1,2,0,0,0,2,0
APIC YAMADA CORPORATION,0.0018483390076507935,2148,7,0,0,0,0,0,0,18,0
Ferrotec Corporation,0.0016820229809488016,2393,9,0,0,0,0,0,0,18,0
Yest Co Ltd,0.0016657036594791028,3504,4,0,0,0,0,0,0,20,0
Viatron Technologies Inc,0.0016213676851946396,1974,5,0,0,0,0,0,0,11,0
EugeneTechnology Co Ltd,0.0015546792200184353,2796,6,0,0,0,0,0,0,14,0
Riber SA,0.0015178445156762256,2435,6,0,0,0,0,0,0,13,0
Techwing Inc,0.0015157498456098563,2867,6,0,0,0,0,0,0,16,0
TOWA CORPORATION,0.0014625028187708617,3571,4,0,0,0,0,0,0,23,0
Eva Technologies Co Ltd,0.0014506810020694881,4819,2,0,0,0,0,0,2,1,0
Hunan China Sun Pharmactcl Mchnry Co Ltd,0.0014055638734494097,4057,1,0,0,0,1,0,0,0,0
Singer Industries (Ceylon) Limited,0.0013860095536896233,3369,1,0,0,0,0,1,0,1,0
ASM International NV (Amsterdam),0.001352442128088295,5958,8,0,0,0,0,0,0,26,0
Top Engineering Co Ltd,0.0012799447497017055,1945,3,0,0,0,0,0,0,10,0
ASM Pacific Technology Limited,0.0012717061844236478,5537,5,0,0,0,0,0,0,22,0
"SNU Precision Co., Ltd.",0.0012451840140032906,1934,5,0,0,0,0,0,0,9,0
Global Testing Corporation Limited,0.0012442107122188832,3793,4,0,0,0,0,0,0,13,0
LIG Invenia Co Ltd,0.0012159922184644346,2407,3,0,0,0,0,0,0,11,0
Suss MicroTec AG,0.0011951081739544453,5698,10,0,0,0,0,0,0,22,0
ASML Holding NV (ADR),0.0011241360009573557,6177,6,0,0,0,0,0,0,19,0
Ace Hightech Co Ltd,0.0011070861979831186,3599,4,0,0,0,0,0,0,13,0
Dalian Zhiyun Automation Co Ltd,0.0010876674235812222,3614,1,0,1,0,0,0,0,0,0
UMS Holdings Limited,0.0010758953863551522,7504,6,0,0,0,0,0,0,21,0
Guangdong Yizumi Precision Mchnry Co Ltd,0.0010506132229847638,5624,1,0,0,0,1,0,0,0,0
SHINKAWA LTD.,0.001037748422486825,1667,3,0,0,0,0,0,0,6,0
"Hanyang Eng Co., Ltd.",0.0010364517173359746,2374,6,0,0,0,0,0,0,9,0
ARES GREEN TECHNOLOGY CORPORATION,0.0010179530379460931,3270,3,0,0,0,0,0,0,8,0
3S Korea Co Ltd,0.0010005100858993998,2463,5,0,0,0,0,0,0,8,0
"Intevac, Inc.",0.0009782616575721424,12946,4,0,0,0,0,0,0,17,2
Chen Full International Co Ltd,0.0009403010854780204,3985,5,0,0,0,0,0,0,10,0
Veeco Instruments Inc.,0.0009370910118014767,1300,5,0,0,0,0,0,0,6,0
Sun East Technology (Holdings) Ltd.,0.000936647418278052,2566,1,0,0,0,0,1,0,0,0
Global Material Science CoLtd,0.0008342311321773345,3601,4,0,0,0,0,0,0,9,0
San Lien Technology Corporation,0.0007157150824405042,3788,4,0,0,0,0,0,0,7,0
TRINITY INDUSTRIAL CORP.,0.0006830987721631792,3149,2,0,0,0,0,0,0,6,0
"YUSHIN PRECISION EQUIPMENT CO., LTD.",0.0006567603556264278,2415,1,0,0,0,0,0,0,7,0
Jinyitong Sci AND TechBeijing Co Ltd,0.0005983979743749744,60190,5,0,0,0,6,0,0,1,0
"Ultratech, Inc.",0.000576541875911809,6204,6,0,0,0,0,0,0,16,0
Sinoma International Engineering Co Ltd,0.0005660220763727993,3651,1,0,0,0,0,1,0,0,0
Uroica Mining Safety Engineering Co Ltd,0.0005142671640866981,3049,1,0,0,0,0,0,0,5,0
Jenoptik AG,0.00038334708056621497,5695,5,0,0,0,0,0,0,9,0
"Y.A.C. CO., LTD.",0.00038047747267151374,2761,2,0,0,0,0,0,0,4,0
Mirae Corp,0.0002638331753956666,3464,2,0,0,0,0,0,0,4,0
I Factory Co Ltd,0.00018244390750898993,4238,1,0,0,0,0,0,0,3,0
Leed Corp,8.108524378387967e-05,9708,1,0,0,0,0,0,0,4,0
Impact Coatings AB,6.270686375803883e-05,1583,1,0,0,0,0,0,0,1,0
Muehlbauer Holding AG & Co. KGaA,4.543412712987452e-05,3963,1,0,0,0,0,0,0,1,0
Laser Tek Taiwan Co. Ltd.,4.542474935901069e-05,3919,1,0,0,0,0,0,0,1,0
"NITTOKU ENGINEERING CO., LTD.",4.169097762833404e-05,3457,1,0,0,0,0,0,0,1,0
