name,score,document_length,url_count,broadband,catv,component,converter,data center,ftth,optoelectronic,sensing,telecom,transceiver,transmitter
Hind Rectifiers Ltd,0.004985365342336531,2672,9,0,0,0,43,0,0,0,0,2,0,0
Gigastorage Corporation,0.004822076988686628,2309,5,0,0,0,1,0,0,5,0,0,0,0
"Hangzhou Silan Microelectronics Co., Ltd",0.004768669025157814,4672,6,0,0,6,2,0,0,0,0,5,0,4
Shengyi Technology Co Ltd,0.00475088122976184,3126,6,0,0,3,0,0,0,0,0,5,1,0
"Shenzhen O-film Tech Co., Ltd.",0.0044331370322976205,1350,4,0,0,4,0,0,0,3,0,0,0,0
Abico FS Co Ltd,0.004352211647682781,4219,6,0,0,9,2,0,0,5,0,2,0,0
STG International Ltd.,0.004331997187239805,3666,5,0,0,9,6,0,0,1,0,1,0,0
"Para Light Electronics Co., Ltd",0.004245949647528511,5445,5,0,0,9,0,0,0,6,0,1,0,0
"TOPCO Scientific Co., Ltd.",0.004201378479014629,3041,6,0,0,6,0,0,0,5,0,0,0,0
GoerTek Inc.,0.0038966190121990916,3262,6,0,0,30,0,1,0,0,2,0,0,0
Trais Co Ltd,0.0035622701724893394,4261,7,0,0,21,1,0,0,0,0,4,0,1
UniVision Engineering Limited,0.003446207154597594,4736,4,0,0,5,0,0,0,0,0,4,0,2
Dongwoon Anatech Co Ltd,0.003427582673012255,2308,5,0,0,6,5,0,0,0,0,3,0,0
S Connect Co Ltd,0.003417172671443631,3503,5,0,0,4,8,0,0,0,0,1,0,0
Avantel Ltd.,0.003245736082186455,3754,5,0,0,4,0,0,0,0,0,4,0,1
Darfon Electronics Corp,0.0030633967391458616,3005,8,0,0,17,1,0,0,0,1,1,0,0
Sun.King Power Electronics Group Ltd,0.0030430539700039023,4764,8,0,0,24,11,0,0,0,0,1,0,0
Feedback Technology Corp,0.0030378928361462225,5062,6,0,0,5,2,0,0,4,0,2,0,0
"SINBON ELECTRONICS CO., LTD.",0.002896056207760343,3778,6,0,0,11,14,0,0,0,0,0,0,0
NFO Drives AB (publ),0.002763118790883174,2870,4,0,0,12,7,0,0,0,0,2,0,0
"NAGANO JAPAN RADIO CO., LTD.",0.0026917600270911796,2736,4,0,0,10,4,0,0,0,0,5,0,0
Opec Electronics Corp,0.002633498213496604,3674,1,0,0,0,0,0,0,0,1,0,1,0
"Wuhu Token Science Co.,LTD.",0.0025091568238445943,2086,6,0,0,5,0,0,0,2,0,3,0,0
Hansol Technics Co Ltd,0.0024818122583245327,3480,4,0,0,6,3,0,0,1,0,1,0,0
Hycon Technology Corp,0.002454123414472416,3250,9,0,0,11,7,0,0,0,0,0,0,0
OPTO Tech Corporation,0.002239667431680895,4058,6,0,0,20,0,0,0,4,0,0,0,0
Globetronics Technology Berhad,0.0021726868814971293,3630,4,0,0,8,0,0,0,3,0,0,0,0
Radiy AO,0.002160103101776171,4722,2,0,0,8,0,0,0,0,0,2,1,0
"Solitron Devices, Inc.",0.0020740067717757234,4251,11,0,0,15,8,0,0,0,0,0,0,0
Meyer Burger Technology AG,0.0020613285416445706,2635,2,0,0,0,0,0,0,3,0,1,0,0
"LG Innotek Co., Ltd.",0.0020105097752647163,4252,6,0,0,20,5,0,0,1,0,0,0,0
Chaozhou Three-circle Group Co Ltd,0.0020085401716567453,2882,9,0,0,32,0,0,0,2,0,3,0,0
Jih Lin Technology Co Ltd,0.0019871579452905882,3876,4,0,0,7,0,0,0,3,0,0,0,0
Topsil Semiconductor Materials A/S,0.0018501123262187028,4387,6,0,0,9,3,0,0,1,0,1,0,0
"Taiwan Oasis Technology Co., Ltd.",0.0017807173827636721,3566,5,0,0,10,1,0,0,1,0,3,0,0
SFC Energy AG,0.00176868760434634,4445,6,1,0,4,2,0,0,0,0,4,0,0
NIIME i Mikron OAO,0.0017503475629222609,4622,6,0,0,14,3,0,0,0,0,4,0,0
Logah Technology Corp,0.0016635004797639062,3805,6,0,0,1,8,0,0,0,0,0,0,0
Tamagawa Holdings Co Ltd,0.0016478807928287265,1763,4,0,0,4,2,0,0,0,0,3,0,0
YOUNYI Information Communication,0.001528191244440968,2861,6,0,0,10,1,0,0,1,0,2,0,0
Kyland Technology Co Ltd,0.0014776354105786671,3416,8,0,0,0,16,0,0,0,0,2,0,0
"AME, Inc.",0.0014206384389187012,1569,1,0,0,0,4,0,0,0,0,0,0,0
Cicor Technologies Ltd,0.0014146074652875088,3491,5,0,0,5,0,1,0,0,0,2,0,0
Excelpoint Technology Ltd,0.0014099944737586702,3161,5,0,0,14,0,1,0,0,0,0,0,0
"Visual Photonics Epitaxy Co., Ltd",0.0013479786777574755,2733,5,0,0,4,3,0,0,0,0,2,0,0
Daiwa Associate Holdings Limited,0.0012482945425476533,3800,5,0,0,6,1,0,0,0,0,9,0,0
Advantest Corp (ADR),0.0011078183964619,7693,11,0,0,23,2,0,0,0,1,0,0,0
Wuhan Yangtze Communication Industry,0.0010573315536269532,4318,5,0,0,0,0,0,0,3,0,2,0,0
Biemt Co Ltd,0.0010427820172898017,3599,3,2,0,2,0,0,0,0,0,5,0,0
Seronics Co Ltd,0.0009445722059254117,2922,9,0,0,6,2,0,0,0,0,4,0,0
Motech Industries Inc,0.0009161165729960313,2888,3,0,0,1,1,0,0,1,0,0,0,0
Inventec Besta Co Ltd,0.0008768172568132382,3971,3,0,0,3,1,0,0,0,0,5,0,0
"ParkerVision, Inc.",0.0008589964129063573,5517,3,0,0,2,0,0,0,0,0,0,2,1
EFUN Technology Co Ltd,0.0007725228452304407,3659,4,0,0,6,1,0,0,0,0,3,0,0
"Kenly Precision Industrial Co., Ltd.",0.0007509085408101145,3144,2,0,0,9,0,0,0,1,0,0,0,0
INESA Electron Co Ltd,0.0007342485136644888,5038,6,0,0,12,0,1,0,0,0,0,0,0
"TDG Holding  Co., Ltd.",0.0006795622446632142,2979,6,0,0,18,0,0,0,1,0,0,0,0
Seiko Holdings Corp,0.0006738557374578279,6585,8,0,0,13,2,1,0,0,0,0,0,0
LGL Group Inc,0.0006624075090927703,3832,4,1,0,10,0,0,0,0,0,2,0,0
DAISHINKU CORP.,0.0006095794628431705,2150,8,0,0,19,0,0,0,0,0,4,0,0
"Electro Scientific Industries, Inc.",0.00048362886917462767,5220,6,0,0,39,0,0,0,1,0,0,0,0
BenQ Materials Corp,0.00044621034964385087,4220,3,0,0,3,0,0,0,1,0,0,0,0
Advanced Ceramic X Corporation,0.00044481209190753664,3148,3,0,0,4,1,0,0,0,0,2,0,0
"IWATSU ELECTRIC CO., LTD.",0.00042129609665126364,4348,6,0,0,6,0,0,0,0,0,5,0,0
"Excel Cell Electronic Co., Ltd.",0.00039547799584239155,4582,10,0,0,35,0,0,0,1,0,0,0,0
International Standard Resrcs Hldgs Ltd,0.0003796172120839877,3331,8,0,0,20,0,0,0,0,0,3,0,0
Zhejiang East Crystal Electronic Co Ltd,0.0003499780757550842,2384,7,0,0,8,0,0,0,0,0,3,0,0
Avatec Co Ltd,0.0003214350043265048,2355,5,0,0,10,1,0,0,0,0,0,0,0
"Shenzhen Sed Industry Co., Ltd",0.0003128131498477,3012,5,0,0,7,0,0,0,0,0,3,0,0
"AOI ELECTRONICS CO.,LTD.",0.0003071893106675547,2515,5,0,0,5,1,0,0,0,0,0,0,0
Prolink Microsystems Corp,0.00028574884924852535,5294,3,0,0,3,2,0,0,0,0,0,0,0
"PRESCOPE TECHNOLOGIES CO.,LTD",0.0002799005055924933,3530,4,0,0,7,1,0,0,0,0,0,0,0
Micro Base Technology Corp,0.00024876047234627906,4379,3,0,0,4,0,0,0,0,0,3,0,0
Hana Microelectronics Public Co. Ltd.,0.0002452038745311612,2163,2,0,0,2,0,0,0,1,0,0,0,0
"Weltrend Semiconductor, Inc.",0.0001929750468236518,4268,6,0,0,6,1,0,0,0,0,0,0,0
UQM Technologies Inc,0.00018869261004523066,3604,4,0,0,7,1,0,0,0,0,0,0,0
Ichia Technologies Inc.,0.00016101356053873663,3103,6,0,0,16,0,0,0,0,0,2,0,0
"InnoChips Technology Co., Ltd.",0.00012571236144879783,2608,5,0,0,9,0,0,0,0,0,1,0,0
Sunway International Holdings Limited,0.00011027971630544704,2910,3,0,0,5,0,0,0,0,0,1,0,0
Magic Micro Co Ltd,9.716912424769223e-05,4464,12,0,0,11,0,0,0,0,0,2,0,0
JHM Consolidation Berhad,4.537602481412387e-05,3199,5,0,0,18,0,0,0,0,0,0,0,0
D & O Green Technologies Bhd,3.245987263105599e-05,3916,6,0,0,16,0,0,0,0,0,0,0,0
"Shinko Shoji Co., Ltd.",2.6828206731282153e-05,4326,5,0,0,20,0,0,0,0,0,0,0,0
"SATORI ELECTRIC CO., LTD.",2.6554496702195027e-05,3212,6,0,0,15,0,0,0,0,0,0,0,0
Kuroda Electric Co Ltd,1.9409071833600527e-05,2588,4,0,0,8,0,0,0,0,0,0,0,0
Raygen Co Ltd,1.754961020801859e-05,2686,4,0,0,6,0,0,0,0,0,0,0,0
Leaguer Stock Co Ltd,1.7468097786836245e-05,3976,5,0,0,10,0,0,0,0,0,0,0,0
Di-Nikko Engineering Co Ltd,1.6867245081502503e-05,3607,4,0,0,8,0,0,0,0,0,0,0,0
R. H. Technologies Ltd.,1.6028390761708652e-05,2207,4,0,0,5,0,0,0,0,0,0,0,0
Topview Optronics Corp,1.3545426511133321e-05,2403,4,0,0,5,0,0,0,0,0,0,0,0
Shuz Tung Machinery Industrial Co Ltd,1.3528622528688487e-05,2092,2,0,0,5,0,0,0,0,0,0,0,0
Green Cross Cell Corp,1.3324469613826065e-05,1703,3,0,0,4,0,0,0,0,0,0,0,0
Biolog Device Co Ltd,1.2342002547743436e-05,2889,5,0,0,5,0,0,0,0,0,0,0,0
Samjin LND Co Ltd,1.1321967829791255e-05,3384,2,0,0,5,0,0,0,0,0,0,0,0
Okins Electronics Co Ltd,1.012264988483488e-05,1858,3,0,0,3,0,0,0,0,0,0,0,0
Ningbo WanHao Holdings Co Ltd,5.233983822388604e-06,3347,1,0,0,3,0,0,0,0,0,0,0,0
Young Bag Micro Motor Co Ltd,3.6859795358793353e-06,6608,5,0,0,5,0,0,0,0,0,0,0,0
Wafer Works Corp.,7.28353734168294e-07,3327,1,0,0,1,0,0,0,0,0,0,0,0
