name,score,document_length,url_count,car,car engine oil,engine,industrial,industrial oil,lubricant,lubricate,oil
Oman Oil Marketing Company SAOG,0.000799249810548551,5311,12,50,0,1,2,0,28,0,174
Aegean Marine Petroleum Network Inc.,0.0007773825684091387,5218,9,4,0,2,0,0,29,0,33
Vung Ang Petroleum Joint Stock Company,0.0007413713982710239,7237,9,19,0,3,0,0,1,0,45
HollyFrontier Corp,0.0007156442408707047,1890,12,19,0,0,2,0,26,0,40
"Calumet Specialty Products Partners, L.P",0.000648734048410745,5429,10,26,0,0,9,0,28,0,99
GOCL Corp Ltd,0.0006262576483588685,4918,9,15,0,0,10,0,4,0,26
Petrolimex Hanoi Trans & Trading JSC,0.0005973885258153645,5214,6,14,0,2,0,0,1,0,10
Saigon Fuel JSC,0.0005934151986319102,4239,8,17,0,1,2,0,7,0,33
Hascol Petroleum Ltd,0.0005855247122274955,2948,6,2,0,0,5,0,15,0,25
Cmistone Viet Nam JSC,0.0005595106067548773,2685,7,15,0,1,1,0,0,0,15
Aldrees Petroleum &Transport Services,0.0005374084434668267,4425,11,39,0,2,1,0,2,0,35
Puma Energy Zambia PLC,0.0005288886410462016,5428,11,9,0,0,3,0,30,0,54
Revoil S.A.,0.00046467140334599094,3736,8,10,0,0,4,0,5,0,116
Cosan Limited(USA),0.00044627485326976895,3705,5,8,0,0,3,0,14,0,11
BP plc (ADR),0.00039324472500161913,8979,9,40,0,1,2,0,6,0,159
Antarchile SA,0.00038003432982723824,7622,8,20,0,0,16,0,7,0,5
Vivo Energy Cote d'Ivoire SA,0.00037242245851323695,5311,10,61,0,1,1,0,12,0,9
Neftemarket OAO,0.00037052940825590063,3743,8,11,0,0,4,0,3,0,49
Materials Petroleum JSC,0.00035680768355221125,2665,7,8,0,0,5,0,2,0,34
Petrolimex Saigon Trans and Service JSC,0.0003551946135780621,6006,7,15,0,1,1,0,1,0,12
Martin Midstream Partners L.P.,0.0002894238980559094,8283,9,21,0,0,5,0,18,0,12
"FUJI KOSAN COMPANY, LTD.",0.00027689253577323713,3436,9,7,0,0,2,0,8,0,46
BROAD GATE SA,0.00023687842537881672,6840,12,10,0,0,5,0,1,0,28
SK Networks Co Ltd,0.00021000408006352687,4411,7,20,0,0,3,0,6,0,26
Esso Societe Anonyme Francaise,0.00020635640816928606,3443,7,6,0,0,0,0,10,0,28
Total Maroc SA,0.00020583791389602486,4223,8,11,0,0,1,0,8,0,54
Compania Logistica de Hidrocarbrs CLH SA,0.0001771190927151882,7690,16,85,0,0,1,0,6,0,124
Naftopererobnyi Kompleks - Halychyna VAT,0.00015699104573718334,7649,5,7,0,1,0,0,0,0,11
NNK - Khabarovsknefteprodukt AO,0.0001463321280922605,6030,7,19,0,0,2,0,4,0,23
Meghna Petroleum Ltd,0.0001360903405286542,3804,13,23,0,0,0,0,7,0,67
Joong Ang Enervis Co Ltd,9.445576224054346e-05,3259,7,6,0,0,1,0,1,0,41
Sinopec Shandong Taishan Petrolum Co Ltd,9.140767903960997e-05,2100,7,3,0,0,1,0,0,0,28
Kontsern Halnaftohaz PAT,8.307108964928771e-05,3115,5,6,0,0,1,0,2,0,13
Terminali a.d. Doboj,3.945628406548655e-05,26169,2,38,0,2,0,0,0,0,1
