name,score,document_length,url_count,consult,customer service,marketing service
KTCS Corp,0.054204218539443655,3681,7,13,3,0
ECS Engineering Consulting Services Inc,0.0531913733031492,6775,13,141,5,0
Eckoh PLC,0.05145934353815414,6324,9,2,10,0
QuinStreet Inc,0.05078187797659349,7235,4,0,9,2
Mobile Network Group SA,0.04831122603852889,10039,2,3,4,1
Integer.pl SA,0.04808432662133793,4192,3,0,6,0
Prochem SA,0.04588487688669347,2785,1,4,1,1
GAP Vassilopoulos Public Ltd,0.04512393353425555,4394,4,3,0,3
RXP Services Ltd,0.04368759007118235,4544,11,36,3,0
Vantiv Inc,0.043607139121314885,5362,6,2,9,0
AF AB,0.04245813262972782,1155,4,10,1,0
Weborama SA,0.039526040702565456,5588,6,6,0,3
plenum AG,0.03866806456567104,6112,6,20,3,0
DMG Entertainment and Media Co Ltd,0.03808253185330377,5266,5,0,0,5
Trenders Inc,0.036760338190992774,7843,4,7,0,3
Acando AB,0.03498447622387671,2204,6,34,2,0
Dovre Group Oyj,0.03322994245221535,17129,8,238,3,0
Coffey International Limited,0.031928870649622,5017,6,18,1,1
"AJIS CO., LTD.",0.03186082550289511,4486,4,1,3,0
Accenture Plc,0.0317000042185308,15996,10,164,3,1
Porta Communications PLC,0.03147644561518074,20125,8,18,1,5
Serma Technologies SA,0.030713903519039458,4745,10,23,1,1
Goldbach Group AG,0.030288782026498373,2849,4,4,0,2
Guru Online Holdings Ltd,0.02990355982035599,6416,4,4,0,4
Global Market Group Ltd,0.028927921434078414,17294,8,10,1,4
Prestige International Inc.,0.02844305987242612,4299,3,0,4,0
Bureau Vrts Rg Int d Clf d Nvr et d Ar,0.026972163718430652,90884,3,195,13,1
EPCO Co Ltd,0.026844031430499113,2684,4,9,2,0
High Co SA,0.026813135367031348,3600,3,3,0,2
EFactor Group Corp,0.02658001908804748,5972,4,8,1,1
Hopscotch Groupe SA,0.025426818840152094,5105,4,2,0,3
Youji Corporation,0.024227033279392764,2484,2,5,2,0
Bengo4.com Inc,0.023757035352441506,2715,5,6,0,1
TSS Inc,0.02309723965389477,4117,3,0,3,0
CH2M HILL Companies Ltd,0.021015995378207884,9379,10,34,2,1
Dentsu Inc,0.020947939407071126,12943,4,20,0,4
Inly Media Co Ltd,0.020180513533050556,4085,6,5,0,2
Fuchun Communications Co Ltd,0.02003166182126421,3504,5,6,2,0
Eficom-Sinersio SA,0.019920894645404034,4344,4,36,1,0
LogiCamms Limited,0.019294045208125103,2486,6,12,1,0
SUNNY SIDE UP Inc.,0.018688542680539957,2927,4,6,0,1
ICF International Inc,0.016738564037674642,4566,7,39,0,1
IB Worldwide Inc,0.016664394113726874,10525,4,4,4,0
Imperium Crown Ltd,0.01645395627409681,3313,1,23,1,0
"ExlService Holdings, Inc.",0.016177306013875813,4361,6,11,2,0
DGA SA,0.015913023379486118,4939,3,11,2,0
Towers Watson & Co,0.01478093794206573,4788,6,32,2,0
Huron Consulting Group,0.014268096613785624,9418,12,375,2,0
VSE Corporation,0.01425922980212103,3609,8,15,1,0
CoStar Group Inc,0.013464947365452524,4687,3,1,1,2
Jaywing PLC,0.013453496182671493,2964,2,1,0,1
One-2-One SA,0.012795710386033771,6621,4,1,2,2
M&C Saatchi Plc,0.012673507079763233,2604,2,1,0,1
Chinanet Online Holdings Inc,0.01210386837991973,4384,2,4,0,1
Beijing Biotechina Environment Corp Ltd,0.01122260727140426,2182,2,1,1,0
Lycopodium Limited,0.01068063564410547,5735,7,12,1,0
Etteplan Oyj,0.009259756431680583,4512,2,4,1,0
Multiconsult ASA,0.009249286954235048,3102,10,95,0,0
"FTI Consulting, Inc.",0.008982445411241385,3876,10,148,0,0
Gannett Co Inc,0.00879486805897261,5887,2,0,2,1
MITCON Consultancy & Engineering Svs Ltd,0.008723556865147142,8326,11,264,0,0
Amaru Inc.,0.008669042058457583,7453,4,4,1,0
Hyosung ITX Co Ltd,0.008550997134522346,3895,2,1,1,0
CCID Consulting Company Limited,0.007568438017788271,1635,6,53,0,0
Safco Investment Holding Corp,0.007380285588440336,21073,9,195,0,2
Booz Allen Hamilton Holding Corporation,0.007086442341287634,21036,17,189,1,0
Unipart Group Of Companies Ltd,0.007035751133207614,6259,7,19,1,0
"TANABE MANAGEMENT CONSULTING CO., LTD.",0.006823700768264312,2633,7,76,0,0
Management Consulting Group PLC,0.006786690897710644,4621,8,104,0,0
Penna Consulting plc,0.006545668313882903,4967,8,111,0,0
Vendator AB,0.006171513318566148,2642,3,2,1,0
Yamada Consulting Group Co Ltd,0.0060668471233767075,4072,9,84,0,0
Fidelity National Information Services,0.005974668310018745,9446,6,24,1,0
Mastercard Inc,0.00587755008647681,8507,4,2,2,1
Power Engineering Consulting JSC 2,0.005760035229433892,2575,7,70,0,0
"KYOWA ENGINEERING CONSULTANTS CO., LTD.",0.005559266338319792,3872,9,71,0,0
EFESO Consulting,0.004630492882721861,923,2,19,0,0
"FUKUYAMA CONSULTANTS CO., LTD.",0.004468270548831802,1467,8,26,0,0
Zalaris ASA,0.004229458572443868,2755,7,46,0,0
"CBIZ, Inc.",0.0039889304056270215,8400,12,111,0,0
Funai Soken Holdings Inc,0.0035435118609166987,3670,6,41,0,0
Power Engineering Consulting JSC 3,0.003482595927558804,4255,9,53,0,0
MCT Danismanlik AS,0.0031580724175961743,1865,5,20,0,0
Power Engineering Consulting JSC 1,0.003095863140287057,3502,7,40,0,0
Oricom Inc,0.003072653691798967,7539,2,1,1,0
"Exponent, Inc.",0.00283899668264395,5714,10,45,0,0
Altran Technologies SA,0.0026723239619218797,7599,11,66,0,0
Morneau Shepell Inc,0.002611187674687246,5852,9,63,0,0
Soellingen Advisory Group Inc,0.0025902907676301793,3124,5,27,0,0
Song Da Consulting JSC,0.0023845972949039828,4669,7,38,0,0
Petrovietnam Power Engineering Con JSC,0.0023578621462930307,5775,7,46,0,0
"Navigant Consulting, Inc.",0.0023289279245122976,3257,6,28,0,0
"Nippon Koei Co., Ltd.",0.0023201359573648815,4468,7,32,0,0
"Information Services Group, Inc.",0.0023190766628997986,5106,5,37,0,0
Hill International Inc,0.002233158590667324,16670,9,55,0,1
Itera ASA,0.0021637498803149416,3357,4,27,0,0
Gexeed Co Ltd,0.002088125685029066,4337,7,26,0,0
NV5 Holdings Inc,0.002050813047299215,6879,9,42,0,0
Brooker Group PCL,0.0020325907656375533,4358,7,35,0,0
Poyry PLC,0.002007398917651542,5262,9,58,0,0
GR Engineering Services Ltd,0.001747094860359001,3134,12,21,0,0
WS Atkins PLC,0.0015864606108050776,5083,6,24,0,0
"CTI Engineering Co., Ltd.",0.001579154336764198,4658,8,22,0,0
Sigmaxyz Inc,0.00156790063167039,3455,7,17,0,0
Wuhan United-Power Dsgn & Eng Co,0.0015538779492043915,3021,5,19,0,0
Norcon Plc.,0.0014298282068382143,3154,4,16,0,0
Workforce Holdings Limited,0.001364822709680779,2755,7,14,0,0
Press Ganey Holdings Inc,0.0013439438827137712,5448,9,24,0,0
Tefen Industrial Eng. Mgt.&Sys. Analysis,0.0013390582295864345,3921,6,18,0,0
GP Strategies Corp,0.0013031620669891103,6348,6,29,0,0
IR Japan Holdings Ltd,0.0012554240074839028,3224,6,14,0,0
Begbies Traynor Group plc,0.0012470960961814017,4511,7,21,0,0
Worleyparsons Limited,0.0012071790560512269,8053,9,27,0,0
Zhi Cheng Holdings Ltd,0.0012053478174142587,4031,5,15,0,0
Ricardo plc,0.0011324378468133038,9154,7,24,0,0
AVIC International Maritime Holdings Ltd,0.00102821656690906,4755,7,18,0,0
"Willdan Group, Inc.",0.001022644963622713,7010,6,23,0,0
Visibilia Editore SpA,0.0009998613795010017,2109,5,7,0,0
SilverSun Technologies Inc,0.0009742834323544779,5153,5,15,0,0
Primeserv Group Limited,0.0009724606246337074,4170,8,15,0,0
Tianjin Tenio Archtr and Eng Co Ltd,0.000947388559051592,4992,3,13,0,0
MVV Holding publ AB,0.0009373600652693749,33147,6,12,1,0
Global Equity International Inc,0.0009306918307201408,3761,5,11,0,0
Mirae ING Co Ltd,0.0009170916901633097,1975,5,7,0,0
CN Dragon Corp.,0.0009164533236127309,4294,8,12,0,0
Sondotecnica Engenharia De Solos SA,0.0008690684151428737,3275,10,14,0,0
Assystem SA,0.0008391106701479292,4205,6,13,0,0
Shanghai Yanhua Smartech Group Co Ltd,0.0008212514329820833,2256,5,7,0,0
Cardno Limited,0.0007877736696639715,3353,4,8,0,0
Wison Engineering Services Co Ltd,0.0007474220872660406,6296,5,19,0,0
Institut Igh dd,0.0007439287647136031,2449,4,7,0,0
Engility Holdings Inc,0.0007003637390520505,5668,5,12,0,0
"KYODO PUBLIC RELATIONS CO.,LTD.",0.000692555994839118,3406,4,8,0,0
Fasteps Co Ltd,0.0006541723050943134,4336,4,9,0,0
Calibre Group Ltd,0.0005878204803282216,5013,3,10,0,0
LCA Holdings Corp,0.0005231922628698697,2146,3,4,0,0
"OmniComm Systems, Inc.",0.0005123658456742666,5856,6,11,0,0
A.L.D. Advanced Logistics Developments,0.0004707320443681523,4701,6,8,0,0
Lightbridge Corp,0.0004654397389831535,5749,4,10,0,0
"TANSEISHA CO., LTD.",0.00045033774580762695,1956,3,3,0,0
Edu Fin Inv JSC,0.0004325532805256803,5265,5,7,0,0
AG dd,0.0004231607650978242,5320,1,5,0,0
Wise Group AB,0.0004205804097371094,3857,2,6,0,0
TriNet Group Inc,0.00041853850752235735,5128,4,8,0,0
Maruwa Unyu Kikan Co Ltd,0.0004167782509213922,5508,7,8,0,0
"Resources Connection, Inc.",0.00040293936487648585,29810,13,61,0,0
Energy Action Ltd,0.0003998655295079449,3882,5,6,0,0
Dalian East New Energy Developmnt Co Ltd,0.00038336376813361917,4482,3,6,0,0
Three Sixty Five PCL,0.00036034472323334747,3318,3,4,0,0
United Integrated Services Co Ltd,0.00035033192389702296,2382,2,3,0,0
Ecosave Holdings Ltd,0.00033684953805639036,5676,6,7,0,0
Zico Holdings Inc,0.00032409575043501246,4197,3,5,0,0
Borneo Industrial Fishery Corp Inc,0.00029568763217505665,12855,2,8,0,0
Publicis Groupe SA (ADR),0.00025079820544033965,5948,4,5,0,0
Shanghai Liketry Internt Inf Tech Co Ltd,0.00020966301194962688,3945,1,3,0,0
JGC Corp,0.0002090126938480465,4011,2,3,0,0
Yatai Duhui Beijing Urban P & B GDRI,0.00014612403282394514,12249,5,19,0,0
Cimic Group Ltd,8.553560897228502e-05,7921,3,3,0,0
Florida Investments SA,7.148975957589832e-05,2088,1,1,0,0
Nordkom AB,6.004163107858376e-05,2801,1,1,0,0
Soprano Oyj,5.3422029265202435e-05,2362,1,1,0,0
Beijing SPC Environment Prtcn Tech CoLtd,5.051763527676935e-05,2487,1,1,0,0
Beijing Guchngrt Sci and Tech Co Ltd,4.997386180998851e-05,2285,1,1,0,0
Harrison Vickers and Waterman Inc,3.859380106970667e-05,4094,1,1,0,0
