name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
Fitipower Integrated Technology Inc.,0.0026850096411353587,2762,6,0,0,5,1,0,2,1
TCL Display Technology Holdings Ltd,0.002651943819745663,6723,3,0,5,4,1,0,1,1
FocalTech Systems Co Ltd,0.002600940928771564,3287,7,0,0,6,2,0,1,2
Neah Power Systems Inc,0.0025524181188488542,6988,5,0,5,3,17,0,11,0
International Display Solutions Co Ltd,0.0025503817807987317,2612,5,0,0,3,0,0,2,2
"Solitron Devices, Inc.",0.0024815075431439087,3856,6,0,2,3,3,0,0,1
Atlatsa Resources Corp (USA),0.002481226590035708,5539,7,0,7,6,21,0,2,0
"Yunnan Chihong Zinc&Germanium Co., Ltd.",0.0024719768454925708,2485,6,0,3,2,25,0,0,0
Canarc Resource Corp. (USA),0.0024534571962312535,9273,10,0,5,6,33,0,8,0
Tajiri Resources Corp,0.002436408463647365,4760,8,0,3,9,10,0,6,0
Punjab Alkalies & Chemicals Ltd,0.0024135422557172944,5037,5,0,1,9,3,0,20,0
Iluka Resources Limited,0.002398652577518106,3768,10,0,15,1,10,0,2,0
BHK Mining Corp,0.0023667296421838817,2532,6,0,0,7,13,0,7,0
Pele Mountain Resources Inc.,0.0023572599696244515,4271,8,0,4,3,18,0,3,0
Qingdao Haili Metal One Co Ltd,0.0023427710470561173,4150,9,0,0,8,46,0,2,0
Mag One Products Inc,0.0023344729004725513,5286,7,0,14,13,11,0,4,0
"Himax Technologies, Inc. (ADR)",0.0023028328842123105,9117,11,0,2,22,4,0,10,1
International Rectifier Corporation,0.0022762015063889415,8459,10,0,13,5,7,0,4,0
Tay Bac Minerals Investment JSC,0.0022382165229593983,7265,9,0,6,36,10,0,6,0
Phihong Technology Co Ltd,0.0021671658905190157,5445,7,0,3,14,0,0,1,1
"Xilinx, Inc.",0.0021502025189802714,9010,8,0,14,10,7,0,7,0
Securitag Assembly Group Co Ltd,0.0021194345290929924,5854,10,0,4,5,17,0,7,0
Marhanets'kyi HZK PAT,0.002032718713116951,14161,7,0,29,11,57,0,0,0
"Hanchang Industry Co., Ltd.",0.0020290952522067965,2253,5,0,3,5,6,0,1,0
KSH Investment and Development JSC,0.001969846728984276,5827,9,0,3,6,37,0,2,0
DK UIL Co Ltd,0.0019430309066680127,4484,7,0,0,9,23,0,3,0
Alphamin Resources Corp.,0.001930084631763234,8771,9,0,17,9,6,0,4,0
Chung Hwa Picture Tubes LTD.,0.0019161802899742434,5883,6,0,3,18,0,0,2,1
Okmetic Oyj,0.0018873285016870992,4101,11,0,38,0,0,0,1,0
Industronics Berhad,0.001856906117100261,4399,6,0,7,4,10,0,1,0
Commerce Resources Corp.,0.001845686472926176,9115,9,0,1,4,40,0,11,0
Gravita India Limited,0.0018276294958219097,5482,8,0,6,8,43,0,0,0
Novx21 Inc,0.001814521312215325,2002,4,0,2,0,26,0,0,0
AU Optronics Corp,0.0017954344937610354,4432,5,0,2,12,0,0,1,1
Chia Chang Co Ltd,0.0017786721386478415,4902,7,0,1,11,21,0,1,0
"Xiamen Tungsten Co., Ltd",0.0017770298265533252,3360,7,0,5,0,24,0,1,0
"SHINKO ELECTRIC INDUSTRIES CO., LTD.",0.0017040051143237432,2085,9,0,9,0,7,0,0,0
Sat Nusapersada Tbk PT,0.0016963089129013859,2692,7,0,2,3,11,0,1,0
"Jiangsu Wuzhong Industrial Co., Ltd",0.0016693865490020336,4790,8,0,0,13,26,0,1,0
China Silver Group Ltd,0.0016667155512077579,3554,7,0,0,8,19,0,1,0
North American Palladium Ltd (USA),0.001651937647371751,3931,7,0,3,5,14,0,2,0
Micro Base Technology Corp,0.00161233072782881,2502,4,0,3,3,4,0,1,0
Canada Rare Earth Corp,0.0015962455303617678,3447,4,0,6,3,15,0,0,0
Renesas Electronics Corporation,0.0015818660441684394,6064,10,0,18,6,0,0,1,0
Shirpur Gold Refinery Ltd,0.0015470711419781097,4731,9,0,0,6,20,0,4,0
ELE-CON Technology Co Ltd,0.0015330231339434864,2706,6,0,4,6,4,0,2,0
"Ascent Solar Technologies, Inc.",0.0015052710949489832,4420,4,0,0,1,0,0,3,1
Guangdong Dowstone Technology Co Ltd,0.0014586309499784282,2494,8,0,1,5,11,0,2,0
"Tianjin Benefo Tejing Electric Co.,Ltd.",0.0014497846432625751,3184,6,0,4,4,5,0,2,0
LeadFX Inc,0.0014033142714869314,4305,8,0,7,2,15,0,2,0
Binh Dinh Minerals Company,0.0013791418157399105,4598,6,0,4,1,27,0,0,0
AA Group Holdings Ltd,0.001358117181319735,2536,6,0,5,3,1,0,1,0
LG Display Co Ltd,0.001353624327409747,8801,11,0,43,41,0,0,0,0
Geomega Resources Inc,0.0013429166199713915,3123,5,0,1,5,10,0,2,0
"G-Shank Enterprise Co.,Ltd.",0.0013330330924960217,3112,6,0,0,4,18,0,0,0
"Gulf Resources, Inc.",0.001330199341732346,7471,9,0,15,16,1,0,1,0
"Taiwan Chi Cheng Enterprise Co.,Ltd",0.001281170706687648,3123,8,0,2,13,8,0,1,0
"EG Co., Ltd.",0.0012443141638607486,3686,9,0,7,14,2,0,2,0
China Molybdenum Luoyang Co Ltd,0.0012254124788477398,2785,13,0,0,0,20,0,1,0
Rare Element Resources Ltd,0.0012218162361416133,7101,10,0,8,4,15,0,2,0
Axe Exploration Inc,0.0012077915429664654,2952,4,0,1,3,10,0,0,0
Intermolecular Inc,0.0011708193297774317,8334,3,0,5,2,0,0,4,1
"SHUN ON ELECTRONIC CO., LTD.",0.0011678532778241157,2823,6,0,3,4,3,0,0,0
Ducgiang Chemicals & Detergent Powdr JSC,0.001166583036513446,4368,7,0,5,4,8,0,2,0
"Integrated Silicon Solution, Inc.",0.0011511311822209463,7408,7,0,19,6,0,0,4,0
UPEC Electronics Corp,0.0011249153601530556,2430,5,0,6,5,1,0,0,0
L'sea Resources International Hldg Ltd,0.0010990591468333366,2485,6,0,0,5,13,0,0,0
Flat Glass Group Co Ltd,0.0010818434168728863,3892,5,0,7,21,1,0,1,0
Eastern Platinum Ltd.,0.0010645760185628856,6171,8,0,4,8,11,0,2,0
ams AG,0.0010548692173608049,6640,12,0,23,4,0,0,0,0
China Tungsten and Hightech Mtrls Co Ltd,0.0010422861105220875,4357,7,0,0,4,21,0,2,0
"Macronix International Co., Ltd.",0.0010120412790485173,5253,8,0,13,6,2,0,0,0
Taiwan Semiconductor Mfg. Co. Ltd. (ADR),0.001010932746109945,8970,10,0,4,18,2,0,10,0
Suzhou Chunxing Precision Mechncl Co Ltd,0.0010009068145472933,3140,5,0,0,5,9,0,1,0
Sang-A Frontec Co Ltd,0.0009932363643979417,2925,6,0,0,8,4,0,4,0
Daejoo Electronic Materials Co Ltd,0.0009581925045443556,2964,5,0,0,10,4,0,3,0
"Yunnan Luoping Zinc & Elec. Co., Ltd.",0.0009419683568679999,4696,7,0,0,15,15,0,1,0
Jiangsu Nata Opto-electronic Materia,0.0009401444816800632,2988,7,0,1,3,7,0,1,0
Aptos Technology Inc.,0.0009331778815719827,2793,8,0,5,7,0,0,2,0
Shenzhen Everwin Precision Technology Co,0.000931529977522348,2144,5,0,1,0,13,0,2,0
Pangang Group Vndm Tm & Res Co Ltd,0.000908219279202784,3330,5,0,8,8,0,0,2,0
"Do-Fluoride Chemicals Co.,Ltd.",0.0009051505393688972,2073,5,0,2,7,5,0,2,0
"Tibet Mineral Development Co., Ltd",0.0008917075463135106,5188,8,0,0,12,17,0,2,0
"Shin Zu Shing Co., Ltd.",0.0008608405922270658,2164,6,0,0,4,9,0,0,0
IDM International Ltd,0.000853864472635428,2515,3,0,1,6,3,0,1,0
SK Hynix Inc,0.0008502950400526608,6941,9,0,10,7,1,0,2,0
Lingbao Gold Co Ltd,0.0008477139631782505,3118,5,0,1,0,12,0,1,0
"Shaanxi Xinghua Chemistry Co., Ltd.",0.0008300981193885498,4344,8,0,8,1,1,0,2,0
Geodex Minerals Ltd,0.0008169615638672302,2439,7,0,0,0,21,0,0,0
KEC Corp.,0.0007678196848860417,3402,6,0,1,5,4,0,1,0
All Star Minerals Plc,0.0007645890411067422,7530,7,0,2,11,7,0,3,0
Taiwan Semiconductor Mfg. Co. Ltd.,0.0007639444156641749,9196,11,0,4,11,1,0,5,0
ELK Corp,0.000763783342215562,2825,3,0,1,3,3,0,1,0
Yong Thai Public Company Limited,0.0007466813345569243,4415,4,0,3,4,3,0,1,0
Beijing Kingee Culture Development,0.0007379740640232337,3125,8,0,0,3,9,0,2,0
Elementis plc,0.0007350445692902691,3636,8,0,2,4,7,0,2,0
Shaanxi Ligeance Mineral Resourcs Co Ltd,0.000733872959835383,4213,7,0,0,5,11,0,1,0
China Northern Rare Earth Gp H-T Co Ltd,0.0007335096817449155,5334,6,0,1,1,20,0,2,0
HOYA CORPORATION,0.0007193336678892103,3811,7,0,5,10,1,0,0,0
Cando Corp,0.0007141230605920793,4939,4,0,2,4,2,0,6,0
"Shindengen Electric Mfg. Co., Ltd.",0.0007023363227478047,5699,7,0,7,6,2,0,1,0
"Silicon Optronics, Inc.",0.0006995347772939945,2781,7,0,0,3,5,0,3,0
Diodes Incorporated,0.0006643152373517956,4932,6,0,4,9,0,0,4,0
"Xiangtan Electrochemical Scie. Co., Ltd.",0.0006553104500081456,3747,7,0,0,9,9,0,1,0
Pixelplus Co Ltd,0.0006514681936181693,3778,5,0,0,8,3,0,3,0
"Unity Opto Technology Co., Ltd.",0.0006501033703803055,4448,6,0,4,6,2,0,1,0
Excelliance Mos Corp,0.0006158052846403826,3239,4,0,0,5,9,0,0,0
Akzo Nobel N.V.,0.0006060707602335471,3410,2,0,0,11,4,0,1,0
Everlight Chemical Industrial Corp.,0.0006043422792231602,3615,7,0,3,9,0,0,1,0
Semicon Light Co Ltd,0.000599077802963807,7567,12,0,3,11,6,0,0,0
Semiconductor Manufacturing Int'l,0.0005967835821139002,5600,4,0,1,8,0,0,9,0
Kuroda Electric Co Ltd,0.0005718970862656668,2302,5,0,0,4,4,0,1,0
BE Semiconductor Industries NV,0.0005704814822920305,2897,5,0,1,0,5,0,1,0
Advanced Microelectronic Products Inc.,0.0005615602884787493,2254,5,0,0,5,4,0,2,0
Yeebo (International Holdings) Ltd,0.0005554756780080714,3654,7,0,4,16,0,0,0,0
Boksit a.d. Milici,0.0005470157599791889,5953,7,0,0,2,24,0,2,0
PLA Co Ltd,0.0005455867278251311,2383,5,0,5,0,1,0,0,0
Akzo Nobel N.V. (ADR),0.0005376539185563237,8479,4,0,2,16,10,0,2,0
PixArt Imaging Inc.,0.0005345513653705504,3239,7,0,2,16,1,0,1,0
Argex Titane Inc,0.0005045151318582374,5180,6,0,8,3,0,0,0,0
Cavium Inc,0.0004958065170004187,6050,8,0,2,7,0,0,9,0
Rusal Sayanogorskiy Alyumny Zavod AO (P),0.0004876368810374136,3174,3,0,8,8,1,0,0,0
G-Smatt Global Co Ltd,0.00047524743432426344,2534,5,0,0,5,3,0,1,0
Silitech Technology Corporation,0.00044123369508817053,2805,5,0,1,2,2,0,3,0
SAN CHIH Semiconductor Company,0.00044029017318957046,3959,6,0,3,8,0,0,1,0
MGT Resources Ltd,0.0004376155856710666,7562,6,0,6,11,7,0,1,0
HannStar Display Corp,0.0004301388958615354,2295,10,0,2,25,0,0,1,0
Vanguard Int'l Semiconductor Corp.,0.00042603503830284577,2961,2,0,1,1,0,0,3,0
Phoenitron Holdings Limited,0.0004259110728513272,2663,4,0,0,7,5,0,0,0
KEC Holdings Co Ltd,0.00042194184029979015,2993,6,0,0,8,3,0,1,0
Advanced Medical Isotope Corp.,0.0004189110286778033,4260,2,0,0,0,4,0,3,0
Hemijska Industrija Zupa Krsvc u restktj,0.00039762715493447216,2541,5,0,1,7,2,0,1,0
"ANADIGICS, Inc.",0.0003730650172704113,4357,5,0,0,12,2,0,3,0
GTM Holdings Corp,0.00036084409018945164,3459,4,0,0,5,3,0,2,0
Abico FS Co Ltd,0.0003560591736477872,4062,6,0,0,5,3,0,1,0
GemVax Technology Co Ltd,0.0003530951978120258,3007,5,0,0,13,0,0,3,0
Namibia Rare Earths Inc,0.0003382233535781442,1693,4,0,0,2,7,0,0,0
Brightking Holdings Ltd,0.0003187647371370646,2737,4,0,0,5,3,0,0,0
INESA Electron Co Ltd,0.00031186293469898064,5047,8,0,2,6,4,0,0,0
Tronics Microsystems SA,0.00029847047018083123,2860,5,0,0,1,3,0,1,0
YMC Co Ltd,0.0002878097844891623,6215,4,0,1,7,7,0,0,0
"Display Tech Co., Ltd.",0.00028574311275191217,2266,5,0,0,43,2,0,0,0
"Data International Co., Ltd",0.0002776236098314457,2686,4,0,1,6,1,0,0,0
Sinopower Semiconductor Co Ltd,0.00026924364246977276,3443,6,0,2,7,2,0,2,0
Semiconductor Manufacturing Int'l (ADR),0.00026382927184157793,3748,4,0,0,2,0,0,9,0
"Shenzhen Inovance Technology Co., Ltd",0.0002525527923707571,1940,3,0,1,1,2,0,1,0
Ust'-Kamenogor. titan. magn. kombinat AO,0.00024951062768098313,141230,9,0,71,111,53,0,1,0
KenMec Mechanical Engineering Co. Ltd.,0.00024668560117170266,2742,6,0,0,8,1,0,2,0
Dongbu HiTek Co Ltd,0.00021736322499011666,3452,5,0,0,8,1,0,2,0
"Pixelworks, Inc.",0.00020821730421052338,4619,4,0,2,2,0,0,4,0
eASIC Corp,0.0002051000216207969,4905,2,0,3,0,2,0,1,0
ViXS Systems Inc,0.00020002961244891464,3452,3,0,0,1,0,0,4,0
"U.I. Display Co., Ltd.",0.00019701572239076562,7005,10,0,1,21,2,0,0,0
SAN-EL Muhendislik Elektrik Taahhut San,0.00019585169605227295,1424,3,0,1,5,0,0,0,0
Elite Advanced Laser Corporation,0.00018980346617218497,2843,4,0,2,6,0,0,0,0
TerraSem Co Ltd,0.00018950361162946487,5159,6,0,0,16,2,0,1,0
Sitronix Technology Corp,0.00018077550395877422,2550,4,0,1,4,1,0,0,0
Siltronic AG,0.00015363561814826156,3634,3,0,0,4,2,0,1,0
"Join Well Technology Co., Ltd.",0.00012927379015578692,2004,5,0,0,6,0,0,1,0
Success Electronics Ltd,0.0001273660401108865,1895,2,0,2,0,1,0,0,0
LandMark Optoelectronics Corp,0.00012589681637607478,3275,7,0,0,8,2,0,0,0
Manz AG,0.00012134510901120276,4598,5,0,1,2,1,0,1,0
"TPK Holding Co., Ltd.",0.00011663390982255397,4083,5,0,0,13,0,0,1,0
"Shenzhen O-film Tech Co., Ltd.",0.00010845243487544319,1353,1,0,2,1,0,0,0,0
Hua Hong Semiconductor Ltd,0.00010607600564913045,2902,4,0,0,3,0,0,2,0
CHI MEI MATERIALS TECHNOLOGY CORPORATION,0.00010329815484843704,2626,3,0,0,6,0,0,1,0
Tasmania Mines Limited,6.646379739911224e-05,2276,2,0,1,0,1,0,0,0
Shenzhen Sunshine Lsr& Elcts Tech Co Ltd,6.562281199136258e-05,11124,6,0,0,10,5,0,2,0
"Cirrus Logic, Inc.",6.35633575125359e-05,12491,8,0,2,11,0,0,1,0
Advanced Power Electronics Corp,2.2773611435103276e-05,9650,6,0,0,9,1,0,0,0
