name,score,document_length,url_count,alcohol,beer,cider,drinking,spirit,wine
Watami Co Ltd,0.0005175209460974926,4522,2,1,0,0,2,0,0
Viet Nam National Generl Exp Imp JSC No1,0.0005060107770281266,5098,2,2,2,0,1,0,0
SpartanNash Co,0.0004411497108609888,5918,1,0,1,0,0,0,3
"HUB CO., LTD.",0.00035037031087216777,3472,1,0,1,0,0,0,1
An-Shin Food Services Co Ltd,0.00032361004879981234,2747,1,0,0,0,1,0,0
Bayn Europe AB,0.00031573490893536726,5003,4,4,0,0,0,0,0
Kisoji Co Ltd,0.00031234872698890733,2632,3,0,0,0,0,0,3
MARCHE CORPORATION,0.00029880671550329456,4292,3,2,1,0,0,0,0
TTFB Co Ltd,0.000293317211174612,4738,1,0,1,0,0,0,1
J Alexanders Holdings Inc,0.0002926538487388418,6324,2,1,1,0,0,0,2
Crystal Rock Holdings Inc,0.00029103909062697586,5030,2,2,0,0,1,0,0
Bucur SA,0.00020536816449435321,3701,2,2,0,0,0,0,1
Rave Restaurant Group Inc,0.00019677917609102564,5141,1,0,1,0,0,0,1
IPAL  S.A.,0.0001954723955646987,3545,1,0,0,0,0,1,0
Tung Lok Restaurants (2000) Ltd.,0.00016919513723450216,4626,3,0,0,0,0,0,3
"Core-Mark Holding Company, Inc.",0.00014867654908920172,3833,3,2,0,0,0,0,1
Schlumberger AG,0.00011580646918594634,11835,1,0,1,0,0,0,1
Grace Kennedy & Co Ltd,9.723106169763455e-05,4370,1,0,1,0,0,0,0
"Tokan Co., Ltd.",9.704896101978424e-05,2536,1,1,0,0,0,0,0
Jammin Java Corp,2.7155625965055116e-05,4486,1,0,0,0,0,0,1
Cosi Inc,2.6438779216906907e-05,6652,1,0,0,0,0,0,1
"Papa John's Int'l, Inc.",1.828993204985911e-05,46296,2,0,0,0,0,2,1
Panera Bread Co,1.7342753306618992e-05,8171,1,0,0,0,0,0,1
