,name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
178,Alphamin Resources Corp.,0.0042664853710227945,8771,9,0,17,9,6,0,4,0
179,G-Smatt Global Co Ltd,0.004259895765442964,2534,5,0,0,5,3,0,1,0
180,Elite Advanced Laser Corporation,0.00425327378654303,2843,4,0,2,6,0,0,0,0
181,Renesas Electronics Corporation,0.0042358753726595665,6064,10,0,18,6,0,0,1,0
182,Punjab Alkalies & Chemicals Ltd,0.004196219468162121,5037,5,0,1,9,3,0,20,0
183,Molycorp Inc,0.004176714540298855,5678,8,0,4,17,31,0,2,0
184,Pixelplus Co Ltd,0.004128550478600385,3778,5,0,0,8,3,0,3,0
185,Eurasia Mining plc,0.004068344467822246,6937,8,0,3,8,36,0,18,0
186,Eastern Platinum Ltd.,0.004058661905821037,6171,8,0,4,8,11,0,2,0
187,GTM Holdings Corp,0.0040430471075787915,3459,4,0,0,5,3,0,2,0
188,Everlight Chemical Industrial Corp.,0.004027472842686466,3615,7,0,3,9,0,0,1,0
189,"Himax Technologies, Inc. (ADR)",0.004017628517796323,9117,11,0,2,22,4,0,10,1
190,China Silver Group Ltd,0.0039228759845782125,3554,7,0,0,8,19,0,1,0
191,"Titan Kogyo, Ltd.",0.003837588952310551,3224,7,0,52,3,0,0,1,0
192,Hemijska Industrija Zupa Krsvc u restktj,0.0038347857348388337,2541,5,0,1,7,2,0,1,0
193,SK Hynix Inc,0.003831460607823852,6941,9,0,10,7,1,0,2,0
194,Oman Chromite Company,0.003818122560373508,4726,9,0,7,2,34,0,3,0
195,Mkango Resources Ltd,0.0037999784666294936,7908,8,0,11,15,28,0,4,0
196,Rare Element Resources Ltd,0.0037825216016099325,7101,10,0,8,4,15,0,2,0
197,HOYA CORPORATION,0.0037738592196818904,3811,7,0,5,10,1,0,0,0
198,"Shenzhen Inovance Technology Co., Ltd",0.0037729418862291995,1940,3,0,1,1,2,0,1,0
199,Shirpur Gold Refinery Ltd,0.003671391738198025,4731,9,0,0,6,20,0,4,0
200,DK UIL Co Ltd,0.003646395879656937,4484,7,0,0,9,23,0,3,0
201,"Yunnan Tin Co., Ltd.",0.0036103088967340473,3409,7,0,0,7,38,0,3,0
202,Brightking Holdings Ltd,0.0035715725531308626,2737,4,0,0,5,3,0,0,0
203,5N Plus Inc.,0.0035127776349812945,3384,10,0,3,2,46,0,2,0
204,Shaanxi Ligeance Mineral Resourcs Co Ltd,0.0035046511701214223,4213,7,0,0,5,11,0,1,0
205,INESA Electron Co Ltd,0.0034942418910997204,5047,8,0,2,6,4,0,0,0
206,Diodes Incorporated,0.0034805301045983355,4932,6,0,4,9,0,0,4,0
207,"Xiamen Tungsten Co., Ltd",0.003405487292522368,3360,7,0,5,0,24,0,1,0
208,China Tungsten and Hightech Mtrls Co Ltd,0.0033934961331718648,4357,7,0,0,4,21,0,2,0
209,Cavium Inc,0.0033454795185145314,6050,8,0,2,7,0,0,9,0
210,Tronics Microsystems SA,0.003344187154426529,2860,5,0,0,1,3,0,1,0
211,Duksan Hi Metal Co Ltd,0.003337938892493829,3040,8,0,0,5,50,0,0,0
212,SAN CHIH Semiconductor Company,0.0033296443007886476,3959,6,0,3,8,0,0,1,0
213,KenMec Mechanical Engineering Co. Ltd.,0.003295465220194244,2742,6,0,0,8,1,0,2,0
214,Canarc Resource Corp. (USA),0.003237789182250721,9273,10,0,5,6,33,0,8,0
215,"GEOMATEC CO., LTD.",0.0032363737194395794,4278,10,0,0,129,8,1,0,5
216,Abico FS Co Ltd,0.0031915479317126154,4062,6,0,0,5,3,0,1,0
217,KEC Holdings Co Ltd,0.0031908871225558148,2993,6,0,0,8,3,0,1,0
218,"Data International Co., Ltd",0.0031106102697575,2686,4,0,1,6,1,0,0,0
219,Alumetal SA,0.0030724581488737394,2514,10,0,4,0,83,0,4,0
220,Akzo Nobel N.V.,0.0030656074721546536,3410,2,0,0,11,4,0,1,0
