,name,score,document_length,url_count,stainless,stainless steel angle,stainless steel chequered plate,stainless steel coil,stainless steel flat bar,stainless steel polishing,stainless steel sheet,stainless steel strip
91,"Shinko Wire Company, Ltd.",9.361337177568676e-06,3367,11,37,0,0,0,0,0,0,0
92,"Nippon Seisen Co., Ltd.",9.304051192106902e-06,2456,12,62,0,0,0,0,0,0,0
93,Mahalaxmi Seamless Ltd,9.121945734356326e-06,3097,2,2,0,0,0,0,0,0,0
94,Vietnam Germany Steel Pipe JSC,8.718102994064258e-06,3670,3,3,0,0,0,0,0,0,0
95,Choo Bee Metal Industries Bhd,8.123662835686161e-06,3899,2,2,0,0,0,0,0,0,0
96,Cemtas Celik Makina Sanayi ve Ticaret AS,7.101655807291319e-06,6148,3,3,0,0,0,0,0,0,0
97,Aperam SA,6.698845492879875e-06,4462,11,71,0,0,0,0,0,0,0
98,"TA CHEN STAINLESS PIPE CO., LTD.",6.238405420951207e-06,3586,10,117,0,0,0,0,0,0,0
99,Oriental Group Ltd,5.905995456352276e-06,4564,1,2,0,0,0,0,0,0,0
100,"Kobe Steel, Ltd. (ADR)",5.668194998421453e-06,6665,3,3,0,0,0,0,0,0,0
101,Universal Stainless & Alloy Products,5.53394358561657e-06,4478,12,91,0,0,0,0,0,0,0
102,STEEL FLOWER CO LTD,4.904069528490927e-06,1801,1,1,0,0,0,0,0,0,0
103,Steel Tubes of India Ltd,4.900639802519123e-06,4363,3,68,0,0,0,0,0,0,0
104,Son Ha Sai Gon JSC,4.78829706033595e-06,6564,3,3,0,0,0,0,0,0,0
105,Dong Il Steel Manufacturing Co Ltd,3.94902185774282e-06,2957,1,1,0,0,0,0,0,0,0
106,Innoventive Industries Ltd,3.892139868293869e-06,3843,1,1,0,0,0,0,0,0,0
107,Garg Furnace Ltd,3.5849930295623956e-06,3849,1,1,0,0,0,0,0,0,0
108,AK Steel Holding Corporation,3.390255674356721e-06,7447,12,84,0,0,0,0,0,0,0
109,Mechel OAO (ADR),3.0393237031841665e-06,5156,1,1,0,0,0,0,0,0,0
110,Moskovskiy mtllrgchski zvd Srp i mlt OAO,2.639603784605175e-06,7426,2,2,0,0,0,0,0,0,0
111,Metallurg. zavod Elektrostal' OAO (P),8.593733456124116e-07,21017,1,1,0,0,0,0,0,0,0
