,name,score,document_length,url_count,alcohol,beer,cider,drinking,spirit,wine
114,Brand New Vintage Limited,0.01426651154168893,3709,3,0,0,0,0,0,25
115,MTY Food Group Inc.,0.013857731396213782,11448,2,0,2,0,0,0,2
116,Ohsho Food Service Corp,0.01351380573206284,3484,2,2,0,0,0,0,0
117,National Mineral Water Company SAOG,0.013293765325687122,18814,3,12,0,0,0,0,5
118,Vina San Pedro Tarapaca SA,0.013174595701775161,3897,7,5,0,0,2,1,111
119,Citic Guoan Wine Co Ltd,0.012533050697025509,3266,9,0,0,0,0,4,81
120,China Ouhua Winery Holdings Ltd,0.012252953047066804,3240,6,1,0,0,0,0,51
121,RCI Hospitality Holdings Inc,0.01210127461824667,12548,3,0,2,0,0,2,0
122,Gansu Mogao Industrial Development Co.,0.011417849353393007,3205,8,0,0,0,0,1,49
123,Foodco Holding PJSC,0.011369618069325543,4184,1,2,0,0,0,0,0
124,Vina Concha y Toro SA (ADR),0.011369316394721175,6346,8,3,1,0,0,3,68
125,G Willi-Food International Ltd,0.010946279017812251,5419,2,2,0,0,0,0,0
126,"Anhui Golden Seed Winery Co., Ltd.",0.010152223624438248,3119,8,0,0,0,0,0,56
127,Rave Restaurant Group Inc,0.010053631056265763,5141,1,0,1,0,0,0,1
128,Zhejiang GuYueLongShan Shaoxing Wine Co.,0.010043581181861293,4225,10,3,1,0,0,7,152
129,Grace Kennedy & Co Ltd,0.009935250679826507,4370,1,0,1,0,0,0,0
130,"Tokan Co., Ltd.",0.009916643293958034,2536,1,1,0,0,0,0,0
131,"SAIZERIYA CO., LTD.",0.009191042038928217,3029,2,0,0,0,0,0,2
132,Yantai Changyu Pioneer Wine Company Ltd,0.008794528539887951,3900,6,3,0,0,0,5,173
133,Tung Lok Restaurants (2000) Ltd.,0.008644336865619776,4626,3,0,0,0,0,0,3
134,Heracles SA,0.008477556123872508,2887,1,0,0,0,0,0,2
135,Sonic Corporation,0.007739074625439451,47003,5,1,16,0,0,3,2
136,China Tontine Wines Group Limited,0.007209923774285048,3737,8,3,0,0,0,0,122
137,Lippo China Resources Limited,0.006975704995070943,3354,2,0,0,0,0,0,2
138,Schlumberger AG,0.005916660178441576,11835,1,0,1,0,0,0,1
139,Andrew Peller Ltd.,0.005691595966284342,3072,9,0,0,1,0,4,196
140,"Tonghua Grape Wine Co., Ltd",0.005656044542433776,2597,9,0,0,0,0,0,121
141,McDonald's Corporation,0.004965905887518508,62064,10,4,23,0,0,0,1
142,Advini SA,0.004963508955518149,3377,8,0,0,0,0,0,142
143,Crimson Wine Group Ltd,0.004564022297046114,4646,12,1,0,0,0,3,177
144,Wei Long Grape Wine Co Ltd,0.004512509255159076,3588,9,1,0,0,0,0,131
145,SAF Magellan AD,0.004477257386882645,4555,2,0,0,0,0,0,2
146,Minor International Public Co. Ltd,0.0036350626508146536,7945,2,0,0,0,0,0,2
147,Jammin Java Corp,0.0027748123554326245,4486,1,0,0,0,0,0,1
148,Pizza Pizza Royalty Corp,0.0027143018943222783,6258,1,0,0,0,0,0,2
149,Cosi Inc,0.002701563621771577,6652,1,0,0,0,0,0,1
150,"Papa John's Int'l, Inc.",0.0018688992659304069,46296,2,0,0,0,0,2,1
151,Panera Bread Co,0.0017721147807217826,8171,1,0,0,0,0,0,1
152,Armeau Brands Inc,0.0017693451868298856,19378,6,9,0,0,0,1,224
