,name,score,document_length,url_count,car,car engine oil,engine,industrial,industrial oil,lubricant,lubricate,oil
22,AP Oil International Ltd,0.0009873385448821335,1759,8,5,0,19,20,0,55,0,111
23,Total Nigeria PLC,0.000974264216851068,4355,9,100,0,40,7,0,73,0,39
24,Additives and Petroleum Products JSC,0.0009158689881319644,2972,8,9,0,9,8,0,4,0,51
25,Shell Pakistan Limited,0.000910008534674243,11574,12,44,1,27,4,0,56,0,230
26,Total Petroleum Ghana,0.0008656973861070588,3754,10,46,0,20,0,0,31,0,26
27,Rafinerija ulja a.d. Modrica,0.0008305486733832245,8039,12,12,0,68,30,1,31,0,336
28,World Fuel Services Corp,0.0007927722501268208,4755,9,35,0,13,6,0,8,0,14
29,Ryazan'nefteprodukt OAO (P),0.0007610581258514051,3417,6,16,0,3,1,0,1,0,6
30,Parkland Fuel Corp,0.0007569002324293642,3664,8,6,0,8,3,0,18,0,33
31,China Rerun Chemical Group Ltd,0.000719931132030843,2733,6,8,0,3,21,0,12,0,28
32,"Phoenix Petroleum Philippines, Inc.",0.0007139506137879647,4729,8,28,0,10,16,0,21,0,57
33,Chemtura Corp,0.0006747467880810175,4627,10,18,0,5,17,0,15,0,1
34,Siam Pan Group Public Company Limited,0.0006709269131146593,1866,10,0,0,6,0,0,29,0,22
35,Jordan Petroleum Refinery Company Ltd.,0.0006650979798291043,3267,7,4,0,14,9,0,13,0,80
36,Makpetrol AD Skopje,0.0006643704286540165,3580,7,5,0,13,2,0,4,0,59
37,Spanjaard Limited,0.0005661016338738987,2307,11,34,0,4,27,0,33,0,2
38,Tianjin Sure Energy Lubrctn Tech Co Ltd,0.0005504382401362961,2744,4,0,0,3,3,0,3,0,15
39,S Oil Corp,0.0005257582789125015,5642,11,8,0,5,7,2,51,0,352
40,"Nihon Parkerizing Co., Ltd.",0.0005222772128952026,4248,12,26,0,4,10,0,27,0,11
41,BP Castrol KK,0.0005056289181698993,3073,8,15,0,4,2,0,14,0,29
42,Petrolina (Holdings) Public Ltd,0.0005000187339108639,2836,8,4,0,2,10,0,11,0,19
43,Lanka IOC Limited,0.0003884129495482666,8402,15,40,0,28,23,0,48,0,208
44,Bharat Petroleum Corp Ltd,0.00038673268898112756,11146,10,70,0,17,59,0,95,0,95
45,Susco PCL,0.0003772618092718979,2716,8,5,0,1,8,0,7,0,23
46,Mobil Oil Nigeria plc,0.00037667666659651653,3386,10,16,0,8,3,0,13,0,85
47,Hanoi Fuel JSC,0.0003752783229270385,4277,8,22,0,5,2,0,4,0,33
48,Conoil Plc,0.00035361110029901935,3966,12,19,0,17,14,0,18,0,183
49,PBF Energy Inc,0.00031844242379237787,5925,10,55,0,10,0,0,8,0,27
50,Cosan SA Industria e Comercio,0.00030010569802844695,4535,9,13,0,2,6,0,16,0,22
