,name,score,document_length,url_count,electronic component,electronic part,power supply,switch,transmitter
174,"DAIICHI JITSUGYO CO., LTD.",0.011436992923537245,2052,1,1,0,0,0,0
175,Z-Obee Holdings Ltd,0.011330342279955937,2490,1,1,0,0,0,0
176,Sungrow Power Supply Co Ltd,0.010467969489873092,5912,6,1,0,18,1,0
177,MANSEI CORPORATION,0.00800464720208038,5705,2,0,0,0,2,0
178,Antec Inc,0.00797014064060291,2954,11,0,0,64,0,0
179,OEM International AB,0.00764700375907389,4646,1,0,0,0,2,0
180,Addtech AB,0.007326584605531905,2478,1,0,0,1,0,0
181,Tongda Group Holdings Ltd.,0.0071112871895842806,3510,1,1,0,0,0,0
182,CUI Global Inc,0.006317229487018361,16979,6,3,0,5,35,0
183,Simplo Technology Co Ltd,0.006008983340804612,3242,1,0,0,1,0,0
184,Electronics Communctns Tech Inv Dev Corp,0.0048815986160693405,3025,1,0,0,0,1,0
185,Voltronic Power Technology Corp,0.00483030028481876,3278,1,0,0,1,0,0
186,"Kyokuto Boeki Kaisha, Ltd.",0.00479334267584687,5712,1,1,0,0,0,0
187,Flowtech Fluidpower PLC,0.0047809314454202575,4152,1,0,0,1,0,0
188,HBL Power Systems Ltd,0.004708202155476502,3191,1,0,0,0,1,0
189,Exide Industries Ltd,0.004644958965258213,3230,1,0,0,1,0,0
190,Swelect Energy Systems Ltd,0.0037782062129195896,4094,1,0,0,1,0,0
191,Yuasa Battery Thailand PCL,0.002879810072637517,3849,1,0,0,1,0,0
