,name,score,document_length,url_count,ac power source,converter,discontinued product,electronic,instrument,power ,safety test,solutions,test,test system
81,"KURAMOTO CO., LTD.",0.02086472591953058,2303,5,0,1,0,4,0,4,0,0,0,0
82,USHIO INC.,0.020425817367010733,5173,8,0,0,0,3,2,8,0,2,2,0
83,Semitec Corp,0.020375781319361203,3325,12,0,1,0,36,0,14,2,0,4,0
84,Arrayit Corp,0.019780935511899373,5316,10,0,0,0,4,17,4,1,1,16,0
85,Silitech Technology Corporation,0.019750521854289233,2804,4,0,1,0,4,1,0,0,0,2,0
86,AXIS Corporation,0.019420442978289598,4113,3,0,2,0,8,0,1,0,1,7,0
87,Ajinextek Co Ltd,0.01927197158372006,3142,6,0,1,0,5,0,8,0,0,5,0
88,Hangzhou Sunrise Technology Co Ltd,0.0181478362345667,2268,7,0,1,0,12,10,24,0,0,11,0
89,Jiangsu Linyang Energy Co Ltd,0.018096337555854533,4694,10,0,2,0,19,0,37,0,5,5,0
90,Aichi Tokei Denki Co Ltd,0.018019312483205444,3219,10,0,0,0,6,3,13,0,1,3,0
91,Tamagawa Holdings Co Ltd,0.01800078047410531,2143,7,0,2,0,18,0,26,0,0,7,0
92,Soulbrain ENG Co Ltd,0.01720982087745088,4228,8,0,2,0,5,2,3,0,0,13,0
93,"Mesa Laboratories, Inc.",0.017101309183165634,4111,12,0,0,0,0,55,0,0,29,95,0
94,"A&D Company, Limited.",0.01703964892310036,6061,10,0,7,0,18,30,3,0,1,50,2
95,"Guangzhou Zhiguang Electric Co., Ltd.",0.016950221222282114,2691,8,0,1,0,3,0,14,0,0,4,0
96,LGL Group Inc,0.016611395292459002,3822,6,0,0,0,9,3,5,0,1,1,0
97,Genesem Inc,0.016429771937369265,5768,13,0,0,0,1,0,14,0,13,35,0
98,"MKS Instruments, Inc.",0.016029542883532418,6061,7,0,1,0,3,59,16,0,1,5,2
99,Exicon Co Ltd,0.015986428856603972,1366,6,0,0,0,1,1,0,0,0,26,1
100,"FOCI Fiber Optic Communications, Inc.",0.01593630012241082,2527,6,0,1,0,0,0,0,0,0,6,0
101,Glory Mark Hi-Tech (Holdings) Limited,0.01552711871214934,3793,8,0,4,0,30,2,3,0,0,3,0
102,Weg SA,0.015457089516259893,6312,16,0,5,0,9,1,136,3,11,3,0
103,INFICON Holding AG,0.015443274181129011,2748,6,0,0,0,1,19,0,0,0,1,0
104,Advantest Corp,0.01538941534681567,6089,11,0,2,0,41,24,0,0,0,290,51
105,Hebei Sailhero Env Prtcn Hightech Co Ltd,0.015380472190059167,3067,5,0,0,0,0,8,0,0,0,4,0
106,Shimadzu Corporation,0.015376843767880956,7810,7,0,0,0,14,42,4,0,13,54,0
107,Qingdao Eastsoft Cmmnictn Tchnlgy Co Ltd,0.014851989153718489,4186,7,0,2,0,5,9,14,0,0,14,0
108,"Shanghai Welltech Automation Co., Ltd.",0.014766566349479612,2990,7,0,0,0,8,13,13,0,0,8,0
109,Darfon Electronics Corp,0.014732470226966849,2374,8,0,2,0,25,0,18,0,0,3,0
110,Hokuriku Electric Industry Co Ltd,0.014630984311249545,4413,6,0,5,0,17,1,15,0,0,2,0
111,JAPAN ELECTRONIC MATERIAL CORPORATION,0.014630759834799894,2207,9,0,0,0,41,0,0,0,4,22,0
112,Waffer Technology Corp,0.014627990042611741,3287,6,0,1,0,6,0,0,0,0,5,0
113,Shenzhen Topband Co Ltd,0.014435224699482456,3323,11,0,0,0,12,1,10,0,2,7,0
114,JPP Holding Co Ltd,0.014370842212997972,2838,8,0,2,0,24,3,6,0,0,6,0
115,R. H. Technologies Ltd.,0.014349861101756643,2224,9,0,0,0,18,1,2,0,1,4,0
116,Sang-A Frontec Co Ltd,0.014289769437127061,2921,6,0,1,0,11,1,0,0,0,3,0
117,Tianjin Yxt Science and Tech Co Ltd,0.013762287274120967,2453,5,0,0,0,8,12,4,0,0,6,0
118,Mustang Industrial Corp,0.01374602826613996,5931,7,0,2,0,13,3,0,0,0,5,0
119,JEOL Ltd,0.013320648838945974,4845,9,0,0,1,11,44,0,0,0,3,0
120,Acrel Co Ltd,0.013157974760411655,1655,6,0,1,0,0,4,41,0,0,0,0
121,"Bio-Rad Laboratories, Inc.",0.013131879375621167,9159,11,0,0,0,1,17,1,6,0,70,2
122,Hansol Technics Co Ltd,0.013055531619277104,3043,6,0,3,0,20,0,26,0,0,2,0
123,Avatec Co Ltd,0.013016547896069222,2367,5,0,1,0,10,1,0,0,0,7,0
124,TMP International Corporation,0.012990892112164825,2550,6,0,0,0,2,0,14,0,0,0,0
125,"Harvard Bioscience, Inc.",0.012951280788805917,4331,9,0,0,0,0,19,0,0,0,4,0
126,Xiamen Red Phase Instruments Inc,0.012886156681019594,3028,8,0,0,0,7,49,28,0,0,17,0
127,InterStandarts AD Sofia,0.01283326068092099,2161,6,0,1,0,2,12,1,0,0,24,0
128,ELE-CON Technology Co Ltd,0.01277297622729909,2348,7,0,1,0,1,0,24,0,0,7,0
129,"Digital Power Communications Co., Ltd.",0.012346700081509551,2623,8,0,2,0,2,3,48,0,0,4,0
130,"Bel Fuse, Inc.",0.012223575657768515,5103,14,0,3,0,23,1,122,0,13,8,0
131,Zhengzhou GL Tech Co Ltd,0.011978704836942484,4506,8,0,1,0,0,11,1,0,0,9,0
132,Kyowa Electronic Instruments Co Ltd,0.011642190113674403,5874,11,0,4,0,49,83,10,0,0,12,2
133,Legrand SA,0.011572695493031034,9603,16,0,0,0,1,0,32,0,10,23,0
134,"Transcat, Inc.",0.011396921759336676,9001,11,4,0,0,18,107,58,0,0,110,1
135,Payton Planar Magnetics Ltd,0.011359328821465668,2768,10,0,4,0,13,1,63,0,6,1,0
136,ShenZhen Yitoa Intelligent Control CoLtd,0.01107293230779683,2789,7,0,0,0,36,1,5,1,0,8,0
137,Wasion Group Holdings Limited,0.010966572918113454,4458,8,0,1,0,2,2,17,0,0,8,0
138,"MAG.LAYERS Scientific-Technics Co.,Ltd.",0.010608247697888143,1549,9,0,0,0,3,0,23,0,0,3,0
139,Trais Co Ltd,0.010435940880299312,3455,5,0,1,0,22,9,2,0,0,2,0
140,Kuangli Photoelectric Technology Co Ltd,0.010298820736749856,2872,6,0,1,0,15,0,0,0,0,5,0
141,Shanghai Lingang Holdings Corp Ltd,0.01012359518128821,4882,8,0,1,0,0,42,13,0,0,6,0
142,Sartorius AG,0.010085807307126509,9764,13,0,0,0,9,28,2,0,8,27,0
143,Chino Corp,0.01006525794617055,3610,7,0,0,0,12,34,4,0,0,9,0
144,Shenzhen Clou Electronics Co Ltd,0.0100103733391959,3699,9,0,0,0,52,8,52,0,0,21,2
145,Photon Control Inc,0.009940128291192648,3680,8,0,1,0,16,17,9,0,0,9,0
146,"Rongxin Power Electronic Co., Ltd.",0.009819582820432958,2263,12,0,4,0,22,0,87,0,0,3,0
147,LECIP CORPORATION,0.009706809387749982,2209,11,0,1,0,3,0,35,0,0,2,0
148,Magnetek Inc,0.009547146269545259,3554,5,0,3,0,5,0,36,0,1,1,0
149,Shenzhen Maxonic Automation Control Co L,0.009187059446337827,3483,7,0,0,0,0,42,4,0,0,3,0
150,Danaher Corporation,0.009160094107028987,10196,11,0,1,0,7,42,9,0,3,40,1
151,KOA CORPORATION,0.009033535361938811,6941,9,0,15,0,33,2,82,0,0,7,0
152,HIOKI E.E. CORPORATION,0.00900284083208025,9570,12,0,0,3,31,108,195,5,2,218,1
153,Cicor Technologies Ltd,0.008988750487440836,3590,10,0,0,0,109,0,0,0,13,9,0
154,Hwa Woei Laminate Corporation,0.00890780813720806,4749,4,0,1,0,13,0,0,0,0,2,0
155,"SINBON ELECTRONICS CO., LTD.",0.008831170285576907,2183,6,0,0,0,31,2,7,0,1,3,0
156,Dongil Technology Ltd,0.008830586984658339,2466,5,0,0,0,18,3,12,0,0,6,0
157,ANRITSU CORPORATION,0.008801001851412745,11252,11,0,0,0,43,25,36,0,15,284,14
158,Bruker Corporation,0.008771467375033407,6289,9,0,0,0,5,74,1,0,5,27,0
159,UQM Technologies Inc,0.008710784069086694,3607,6,0,1,0,2,0,22,0,0,6,0
160,ViTrox Corporation Bhd,0.008616452400463302,2902,7,0,0,0,28,1,0,0,0,8,1
161,Arlitech Electronic Corp,0.008557932468315542,2682,9,0,6,0,64,1,9,0,0,1,0
162,El Sewedy Electric Co,0.008546459302456665,4438,11,0,0,0,0,1,27,0,0,9,1
163,"CLOVER HITECHNOLOGY CO., LTD",0.008524922405587708,3093,7,0,0,0,7,1,5,0,0,2,0
164,Magic Technology Co Ltd,0.008504900203212148,2659,5,0,0,0,14,1,12,0,0,4,0
165,"Jhen Vei Electronic Co., Ltd.",0.008494224682310548,2087,8,0,2,0,34,0,1,0,0,3,0
166,DongHua Testing Technology Co Ltd,0.008478724366360829,3383,8,0,0,0,4,8,0,0,0,85,4
167,Chemtronics Co Ltd,0.008375075953941918,2680,7,0,1,0,23,1,4,0,0,6,0
168,"Amotech Co., Ltd.",0.008372466908898035,1429,4,0,0,0,7,1,2,0,0,1,0
169,Hickok Incorporated,0.008069467539901239,3390,7,0,0,0,8,7,10,0,0,15,0
170,Robostar Co Ltd,0.007867634653313096,3635,6,0,0,0,15,23,2,0,0,1,0
171,"MITSUMI ELECTRIC CO., LTD.",0.007698434527074496,6807,11,0,3,0,44,3,23,0,1,15,0
172,"Star World Technology Co., Ltd.",0.00764466144318021,2562,5,0,1,0,23,0,3,0,0,2,0
173,Richwave Technology Corp,0.007610762965510724,3355,8,0,0,0,6,0,13,0,0,4,0
174,Korea Materials & Analysis Corp,0.007495258680081306,4532,8,0,0,0,6,13,1,0,0,10,0
175,"Shinko Shoji Co., Ltd.",0.007466704409746889,4716,11,0,0,0,45,1,0,0,5,3,0
176,Advance Metering Technology Ltd,0.0074037996335782836,3767,6,0,0,0,0,2,21,0,0,9,0
177,Roper Technologies Inc,0.007382112461355861,9384,3,0,0,0,6,14,4,0,2,7,0
178,Pulse Electronics Corp,0.0072734578327501255,3100,7,0,2,0,93,0,39,0,4,4,0
179,Abico FS Co Ltd,0.007261750973474267,4072,7,0,1,0,13,0,1,0,0,8,0
180,Fluidigm Corporation,0.007208012633519389,7590,7,0,0,0,0,12,2,0,0,7,0
181,"Zhejiang Nanyang Technology Co.,Ltd.",0.00716252194366309,2172,7,0,0,0,13,0,8,0,0,1,0
182,Lem Holding SA,0.0071598243787697035,3200,9,0,1,0,20,1,22,0,0,5,0
183,"Holy Stone Enterprise Co., Ltd.",0.007140535981295375,6084,11,0,4,0,29,0,32,0,0,8,0
184,ABC Taiwan Electronics Corporation,0.00708914200793723,1153,4,0,0,0,30,0,13,0,0,5,0
185,"InnoChips Technology Co., Ltd.",0.007044973162408199,1818,6,0,0,0,17,2,3,0,0,3,0
186,Fersa Energias Renovables SA,0.00702914695506579,2931,7,0,0,0,0,0,23,0,0,2,0
187,Success Electronics Ltd,0.00684810731732681,1601,6,0,1,0,36,3,0,0,0,2,0
188,Sensata Technologies Holding N.V.,0.00680850094449573,5102,8,0,0,0,12,1,25,0,1,7,0
189,Power Logics,0.006739053667185805,1519,9,0,0,0,0,0,67,0,0,0,0
190,"Jochu Technology Co., Ltd.",0.0067266612521753545,3080,5,0,0,0,13,5,0,0,0,2,0
191,Electrical Industries Co JSC,0.00671350291797334,5469,10,0,1,0,2,7,42,0,0,10,0
192,DKK-Toa Corp,0.006604791196728376,3124,9,0,0,0,20,42,4,0,0,0,0
193,Sun.King Power Electronics Group Ltd,0.006600620286211988,4034,7,0,11,0,76,0,151,0,0,9,0
194,Nippon Manufacturing Service Corporation,0.006310224324608507,3822,10,0,0,0,49,3,10,0,2,3,0
195,Nuin Tek Co Ltd,0.006177371293632974,4105,8,0,0,0,7,1,5,0,0,3,0
196,"Allied Motion Technologies, Inc.",0.006139135299787324,4074,8,0,0,0,17,6,25,0,0,4,0
197,Samjin LND Co Ltd,0.00601579048571731,1957,5,0,0,0,1,0,6,0,0,12,0
198,YOUNYI Information Communication,0.006007402508519813,2507,7,0,1,0,24,0,0,0,0,4,0
199,Shenzhen Everwin Precision Technology Co,0.005998597696246185,2155,5,0,1,0,25,1,2,0,0,2,0
200,"Guodian Nanjing Automation Co., Ltd.",0.0059863732448132406,3069,10,0,3,0,0,0,72,0,0,6,0
201,Elspec Engineering Ltd.,0.0059793242196734386,2495,8,0,0,0,2,0,63,0,0,2,0
202,Scientech Corp,0.005947961512777671,3787,11,0,0,0,25,8,17,0,0,14,0
203,Wuhan Zhongyuan Huadian,0.005721792231884222,4377,9,0,0,0,4,9,34,0,0,10,0
204,Exicon Co Ltd (Parent),0.005691191043364952,5877,10,0,0,0,0,0,1,0,0,25,1
205,ZH Electronic Measuring Instruments Co,0.005655294318510088,5360,9,0,1,0,74,135,3,0,2,18,1
206,Beijing Sailsors Instrmnts Tech Co Ltd,0.005641960168381553,3986,10,0,0,0,19,120,10,0,0,7,0
207,"LG Innotek Co., Ltd.",0.005620699853309074,2348,6,0,0,0,15,1,15,0,0,11,0
208,Biolog Device Co Ltd,0.005598654547786141,2167,7,0,0,0,14,1,3,0,0,1,0
209,Changsha Kaiyuan Instruments Co Ltd,0.0055759106604335975,4606,10,0,0,0,4,52,13,0,0,32,0
210,Video Display Corporation,0.005556853826201186,2959,7,0,0,0,10,1,5,0,0,3,0
211,Store Electronic Systems SA,0.0055557906805004074,2893,10,0,0,0,93,0,2,2,0,3,0
212,Korea Computer Inc,0.005504400317703735,2633,5,0,0,0,13,2,1,0,0,2,0
213,"JMT CO.,Ltd.",0.005458095186473732,1003,3,0,0,0,4,1,0,0,0,1,0
214,Shenzhen Microgate Technology Co Ltd,0.0054295693127297965,2338,9,0,0,0,18,1,19,0,0,10,0
215,Wong's International Holdings Ltd,0.005421526848013347,3085,8,0,0,0,49,1,1,0,1,11,1
216,"Taiwan Oasis Technology Co., Ltd.",0.005409029474783769,4401,11,0,1,0,12,2,37,0,0,13,0
217,Seiko Holdings Corp,0.0054065918072791815,6788,13,0,2,0,35,28,11,0,0,9,0
218,Jiangsu Skyray Instrument Co Ltd,0.0053966624415181285,3775,13,0,0,0,4,116,3,0,0,31,0
219,"WaferGen Bio-systems, Inc.",0.005366529061846374,4951,4,0,0,0,0,4,1,0,0,5,0
220,Invengo Information Technology Co Ltd,0.0053473989361649665,3694,9,0,0,0,5,1,6,0,0,7,0
221,Ipco International Limited,0.005324698246134974,3102,7,0,0,0,10,0,5,0,0,5,0
222,Bio Gate AG,0.005292720404224621,2377,4,0,0,0,0,2,0,0,0,6,0
223,ThuDuc Electro Mechanical JSC,0.005286090200158065,5215,8,0,0,0,3,2,23,0,0,5,0
224,Chilisin Electronics Corporation,0.005279672881439619,2205,10,0,1,0,14,0,59,0,0,1,0
225,PSMC Co Ltd,0.005070010911599557,2508,7,0,0,0,9,3,1,0,0,4,0
226,Micro Base Technology Corp,0.0050099691691805085,4387,6,0,0,0,11,2,3,0,0,3,0
227,Transformers & Rectifiers (India) Ltd.,0.00491907687485322,4982,10,0,1,0,1,1,38,0,0,11,0
228,Nanjing Xinlian Electronics Co Ltd,0.0048963013657182305,2748,7,0,0,0,36,3,11,0,0,7,0
229,"Integrated Micro-Electronics, Inc.",0.004893809710733529,6186,8,0,0,0,149,2,24,0,0,19,6
230,Von Roll Holding AG,0.004851032080338544,4579,8,0,0,0,6,0,35,0,0,12,0
231,Yeebo (International Holdings) Ltd,0.004800521939765905,4391,7,0,0,0,15,2,6,0,0,4,0
232,"SL Industries, Inc.",0.00475925816775723,3423,7,0,0,0,29,0,42,0,0,5,0
233,Tai Shing Electronics Components Corp,0.004700495636142798,3010,12,0,2,0,60,0,16,0,0,8,0
234,Computime Group Limited,0.00462498224660631,4978,9,0,1,0,39,7,8,0,0,10,0
235,Japan Resistor Mfg Co Ltd,0.0045948125943794695,2171,11,0,0,0,20,1,21,0,0,1,0
236,Ohizumi MFG Co Ltd,0.004509316764050101,1677,5,0,0,0,16,2,0,0,0,2,0
237,Hitachi High-Technologies Corp,0.004504692599030974,4499,11,0,0,0,21,34,1,0,0,10,0
238,Accelerate Diagnostics Inc,0.004478441908228684,2783,6,0,0,0,0,9,0,0,0,27,0
239,Tecan Group Ltd,0.004397889872997773,9620,10,0,1,0,2,20,13,0,0,29,0
240,HannStar Display Corp,0.004274720326056073,2824,5,0,0,0,9,1,1,0,0,3,0
241,Oxford Instruments plc,0.004271076678638039,3232,12,0,0,0,3,119,1,0,0,7,0
242,Global Lighting Technologies  Inc,0.0042569310480410644,2541,9,0,0,0,9,1,6,0,0,13,0
243,IDEC CORPORATION,0.0040855794774651046,5736,12,0,1,0,21,2,64,0,1,10,0
244,Baotek Industrial Materials Ltd.,0.004026052104841493,5176,6,0,1,0,21,0,0,0,0,6,0
245,Dexerials Corp,0.003994613819704042,3662,7,0,0,0,1,0,14,0,0,4,0
246,Electromagnetica SA,0.003980281370552803,4982,6,0,0,0,30,2,33,0,0,16,0
247,ABCO Electronics Co Ltd,0.0039663808302756514,1620,8,0,0,0,43,2,8,0,0,2,0
248,Lens Technology Co Ltd,0.003815520089783937,3332,7,0,0,0,12,2,0,0,0,2,0
249,Zhen Ding Technology Holding Ltd,0.0037950594749078343,2026,3,0,0,0,8,1,0,0,0,3,0
250,"DAP Co., Ltd.",0.0037725991684907315,2168,5,0,0,0,5,1,0,0,0,6,0
251,United Radiant Technology Corp.,0.003748775879666894,1718,3,0,0,0,3,1,0,0,0,1,0
252,Radiant Opto-Electronics Corporation,0.003694905850675316,2460,6,0,1,0,45,2,1,0,0,2,0
253,Canon Electronics Inc,0.003651565534870064,1995,11,0,0,0,40,5,3,0,0,10,0
254,Microview Technology Corporation,0.0036411541248158883,5511,8,0,1,0,70,4,21,0,1,8,0
255,Inventec Besta Co Ltd,0.0035916953953678984,3979,9,0,1,0,38,0,9,0,0,4,0
256,K.S. Terminals Incorporated,0.0035879034484419298,2695,5,0,0,0,6,3,0,0,0,0,0
257,Daiwa Associate Holdings Limited,0.003558878916767531,3809,6,0,1,0,29,0,2,0,0,5,0
258,Cepheid,0.0035405286516111472,9330,15,0,0,0,5,38,4,0,2,165,4
259,Babcock & Wilcox Enterprises Inc,0.0034606021761451763,5504,8,0,2,0,0,0,69,0,0,3,0
260,Inspec Inc,0.0033725356683984623,6073,9,0,0,0,36,40,0,0,1,39,0
261,Centum Electronics Ltd.,0.003343842246889644,4458,8,0,2,0,87,1,7,0,0,30,1
262,Tai-Tech Advanced Electronics Co Ltd,0.0033394845366945653,2444,9,0,1,0,63,1,23,0,0,3,0
263,Cosmo Ferrites Ltd,0.0032472929711392976,5786,6,0,0,0,9,1,12,0,0,12,0
264,"Advanced Energy Industries, Inc.",0.0032435200970378497,4394,10,0,1,0,2,11,144,0,0,6,0
265,Shengyi Technology Co Ltd,0.0032336179564161054,3124,7,0,0,0,16,1,3,0,0,6,0
266,Transgenomic Inc,0.0032201052597364164,4362,6,0,0,0,0,4,17,0,0,38,0
267,Universal Scientfc Industrl Shngh Co Ltd,0.003192297130963315,3748,8,0,1,0,25,1,0,0,0,10,0
268,Ningbo Sanxing Medical Electric Co Ltd,0.003179514317720309,5844,12,0,0,0,20,3,39,0,0,25,0
269,TT Electronics plc,0.0031625320156784265,4782,13,0,0,0,161,4,52,0,4,15,0
270,ROHM COMPANY LIMITED,0.003114218734506945,12388,11,0,19,0,173,3,144,0,0,12,0
271,Sysmex Corp,0.003112617757168106,4146,10,0,0,0,3,10,1,0,0,24,0
272,"Illumina, Inc.",0.0030976056569654714,5065,8,0,0,0,1,10,2,0,0,17,0
