name,score,document_length,url_count,electronic component,electronic part,power supply,switch,transmitter
Beijing Zhongxun Sifang Scnc & Tech Co,0.06036778459551554,4574,12,1,0,1,2,3
FDK Corp,0.05936256594722042,3942,11,9,1,7,5,0
Surge Components Inc,0.057179204263421955,2896,12,6,0,4,10,0
"Chuo Seisakusho, Ltd.",0.05514612375473693,2522,17,3,0,24,0,0
East Group Co Ltd,0.05378449319700292,3892,7,0,0,35,5,0
Malmbergs Elektriska AB (publ),0.05345917685244139,2696,9,5,1,0,6,0
ENERMAX TECHNOLOGY CORPORATION,0.05275110529003759,6357,14,0,0,43,11,0
Willas-Array Electronics (Holdings) Ltd,0.052116758107550495,2285,8,13,0,1,1,0
Shanghai Laimu Electronics Co Ltd,0.051871295817241425,3242,8,6,0,0,25,0
"SANSHIN ELECTRONICS CO., LTD.",0.04968191263884116,2210,9,11,0,0,4,0
Gamatronic Electronic Industries Ltd.,0.0494210994058825,4843,13,0,0,39,4,0
Sungho Electronics Corp,0.04867279334970251,1922,7,2,1,8,1,0
"Tianjin Benefo Tejing Electric Co.,Ltd.",0.046593831444627566,3205,8,0,0,1,9,1
TOMEN DEVICES CORPORATION,0.04544498347486989,1561,7,1,3,0,0,0
"Trust-Search Corp.,Ltd.",0.043708187605648055,4465,9,1,7,0,0,0
Renesas Easton Co Ltd,0.04295312985582514,1877,9,0,4,0,0,0
"Howteh Technology Co., Ltd.",0.04261173150526105,2336,9,8,1,0,1,0
"Delta Electronics, Inc.",0.0404150228929327,6527,15,5,0,31,5,0
Amalgamated Electronic Corp.,0.04025656104987206,10889,12,0,0,11,0,4
"Shindengen Electric Mfg. Co., Ltd.",0.03977710766495347,5654,16,0,0,36,5,0
Sentronic International Corp,0.037310635682109246,4167,9,4,3,0,0,0
Antec Inc,0.03673763589996208,2954,14,0,0,64,0,0
Lien Chang Electronic Enterprise Co. Ltd,0.03551760561795428,2542,10,0,0,13,3,0
KANADEN CORPORATION,0.03538762570065287,2674,7,5,1,1,0,0
Datronix Holdings Limited,0.03528823074368022,3661,9,7,0,0,0,2
Edom Technology Co Ltd,0.03466912429220354,2773,6,12,1,0,0,0
Topower Co Ltd,0.034198340890447446,4667,18,0,0,27,5,0
Tokai Electronics Co Ltd,0.03406104523971741,6076,15,16,2,2,16,0
FSP Technology Inc,0.03360531192664113,2813,11,0,0,39,0,0
NICHIDENBO CORPORATION,0.032549582646843545,2489,13,5,0,0,6,0
China Titans Energy Technology Group Co,0.030931692575230842,3906,8,0,0,15,6,0
Ruixin International Holdings Ltd,0.03068578718029165,3147,7,5,1,0,1,0
Delta Electronics Thailand PCL,0.029588647581786944,4564,8,2,0,25,3,0
Vitec Holdings Co Ltd,0.02831755870847842,2350,9,11,2,0,0,0
Solid State PLC,0.02720801124088867,3344,9,10,0,0,3,0
Shenzhen Auto Electric Pwr Plnt Co Ltd,0.026225606471366545,2545,9,0,0,11,3,0
TAIWAN OSTOR CORP.,0.026161878997685184,2913,8,7,0,3,0,0
Ahoku Electronic Co,0.02582188286365379,2719,7,2,0,9,3,0
BOS Better OnLine Sol (USA),0.025470860905057405,3581,9,14,1,0,0,0
PNESolution Co Ltd,0.025129226850770757,2626,9,0,0,26,0,0
Premier Farnell plc,0.025027923439181955,4947,13,11,0,2,3,0
"ZHONGYEDA ELECTRIC CO.,LTD.",0.02308004423241586,2465,7,3,0,0,6,0
Ryoyo Electro Corp,0.021797796834067434,4621,10,1,3,0,0,0
Friwo AG,0.02008843453151796,2147,12,0,0,19,0,0
Shenzhen Huakong Seg Co Ltd,0.020018943033135804,2891,7,3,2,0,0,0
Ideal Power Inc,0.019483174540416173,2691,8,0,0,1,13,0
Phihong Technology Co Ltd,0.019271065679942193,5160,12,2,0,34,2,0
Mobicon Group Limited,0.019121466417239347,3682,9,9,1,0,0,0
Nichiden Corp,0.018863094995019432,4194,15,0,0,1,1,1
3W Power SA,0.017750813986976633,7331,9,1,0,14,4,0
Elematec Corporation,0.017564222869543518,2666,11,3,2,0,0,0
"Sansha Electric Manufacturing Co., Ltd.",0.017408674874776923,2743,8,0,0,13,2,0
CUI Global Inc,0.01699332489038334,16979,12,3,0,5,35,0
"CyberPower Systems, Inc.",0.016462336933968532,11324,12,0,0,14,16,0
LITE-ON JAPAN LTD.,0.016376384631469704,4095,13,4,2,2,2,0
Sungrow Power Supply Co Ltd,0.01565311209688642,5912,11,1,0,18,1,0
Taitron Components Inc.,0.015151215279310697,1451,11,10,0,0,0,0
Promate Electronic Co Ltd,0.015118485773413905,2671,10,11,0,2,0,0
Nanjing Huadong Elect.Info & Tech Co Ltd,0.014187074016968677,2953,8,5,0,1,2,0
Naigai Tec Corporation,0.013551322650178605,3256,9,0,1,3,0,0
Tiasang Battery Joint Stock Co,0.013515036846418227,3300,9,0,1,4,0,0
Sebang Global Battery Co Ltd,0.013433280400222531,3432,8,4,0,4,0,0
Beijing Metro High Point Technlgy Co Ltd,0.012845523994929338,5880,10,0,0,3,7,0
Unitron Tech Co Ltd,0.012821132377505944,2349,10,11,0,0,0,0
Beijing Dinghan Technology Co Ltd,0.012694321261610384,2387,9,0,0,12,0,0
SUNNIC Technology & Merchandise Inc.,0.012655729164653575,3815,10,8,0,1,0,0
Tokyo Electron Device Ltd,0.011960442783410592,4743,11,11,0,2,2,0
Jiangsu Zhongling Hi-tech Co Ltd,0.011823395087260125,1480,6,0,0,1,3,0
Galaxy Far East Corp,0.011710853272303912,3070,8,1,0,2,4,0
Northeast Electric Development Co Ltd,0.011495855920650954,1943,14,0,0,0,8,0
Shinden Hightex Corp,0.01149127155663513,1346,10,6,0,0,0,0
Daito Me Holdings Co Ltd,0.010990185410215837,2487,10,7,0,2,0,0
"Shenzhen HiFuture Electric Co.,Ltd.",0.010817559336834676,2479,9,0,0,0,9,0
WindSun Science and Technology Co Ltd,0.010559821810157636,5243,7,3,0,1,4,0
Ablerex Electronics Co Ltd,0.010425156805851578,1594,11,0,0,1,4,0
Yleiselektroniikka Oyj,0.010388898127162418,3550,9,4,0,2,2,0
"HAGIWARA ELECTRIC CO., LTD.",0.010339393788516348,2155,8,1,0,0,5,0
Yuyang D&U Co Ltd,0.009882202755329337,3365,9,0,0,11,0,0
"MEIJI ELECTRIC INDUSTRIES CO., LTD.",0.009599837905037054,4222,9,0,0,1,7,0
Shenzhen Kstar Science And Technology,0.009256539638282943,2394,8,0,0,10,0,0
"NADEX CO., LTD.",0.008828478689930985,2296,10,3,0,1,0,0
"MORIO DENKI CO., LTD.",0.00862173803039668,5022,13,2,0,0,16,0
GS Yuasa Corporation,0.008232515680395559,3048,10,0,0,7,1,0
Lumax International Corp. Ltd.,0.00821754768077636,1452,5,2,0,0,3,0
AIKO CORPORATION,0.007261890394101663,3006,9,2,0,0,4,0
Petrosetco Distribution Joint Stock Co,0.007158905112055683,3123,9,1,2,0,0,0
Solomon Technology Corporation,0.007158897009123869,3650,13,5,0,0,2,0
Wenzhou Hongfeng Electrical Alloy Co Ltd,0.007149253229672514,2331,7,2,0,0,4,0
MARUBUN CORPORATION,0.0069224353225005855,2550,8,5,0,0,0,0
Excel Co Ltd,0.006646383198587803,2916,12,4,0,0,2,0
Hunan Zhongpu Lightning Prtection Co Ltd,0.006592984299004559,2635,9,0,0,11,0,0
Beijing Zhong-Ke Clm El Etrc Tech Co Ltd,0.006516084013625859,3532,6,0,0,1,3,0
"Victek Co., Ltd.",0.006512558713512531,2143,7,0,0,5,0,0
Neways Electronics International NV,0.006338991206234352,3761,12,8,0,0,0,0
Formosa Electronic Industries Inc,0.006171219919480079,1865,6,0,0,4,0,0
Amara Raja Batteries Ltd,0.006169893647151101,2411,7,0,0,3,1,0
Global Electrical Technology Corp,0.0061163308952953575,3113,9,0,0,5,2,0
Daetwyler Holding AG,0.006034134908502732,3545,8,5,0,0,0,0
Serial System Ltd,0.006033138442382883,3981,11,7,0,0,0,0
"Toshin Group Co., Ltd.",0.0059292945545625165,3185,13,0,0,0,6,0
Choo Chiang Holdings Ltd,0.005883159620180034,3786,11,0,0,0,8,0
Hold Jinn Electronics Co Ltd,0.005710398230526388,2853,8,1,0,1,1,0
Proton Power Systems Plc,0.005605655441827278,3138,12,0,0,4,1,0
"MABUCHI MOTOR CO., LTD.",0.004893945192362303,8799,10,2,0,13,2,0
Pierides Holdings Plc,0.0044263362616794545,4217,10,0,0,0,5,0
"Universal Power Group, Inc.",0.0041757245891604075,3690,8,2,0,3,0,0
Dragon Group International Limited,0.004149419924154275,3392,11,4,0,0,0,0
Kung Long Batteries Industrial Co Ltd,0.0040262636293916946,5176,10,0,0,6,0,0
"Samya Technology Co.,Ltd",0.003965567034992503,2077,8,0,0,3,0,0
Smart-Core Holdings Ltd,0.003858980604278693,4701,8,5,0,0,0,0
AV Concept Holdings Limited,0.003707199849207154,2936,7,3,0,0,0,0
Nisshinbo Holdings Inc.,0.003599604900806511,5963,13,5,0,0,0,0
Shandong Sacred Sun Power Sources Co Ltd,0.0033486396963276622,3136,12,0,0,5,0,0
Shenzhen Deren Electronic Co Ltd,0.003182939366000779,3182,9,3,0,0,0,0
Supercomnet Technologies Bhd,0.002872177989553889,6212,16,0,0,0,5,0
Ampli SA w upadlosci ukladowej,0.002589693253355898,3054,10,0,0,0,4,0
"Axion Power International, Inc.",0.0023750860536701462,5441,9,0,0,5,0,0
WPG Holdings Limited,0.002361366125673966,1781,9,2,0,1,0,0
KUEN CHAANG UPPERTECH CORP.,0.001880676397896386,5075,7,0,0,0,3,0
Greatop Co Ltd,0.0018474101438846386,2063,9,0,0,1,2,0
MetaTech (AP) Inc.,0.0017377384822769078,3714,8,2,0,0,1,0
"Well Shin Technology Co., Ltd.",0.0017087005233766032,4596,9,0,0,4,0,0
Zhuzhou CRRC Times Electric Co Ltd,0.0010357276765278003,2884,9,0,0,2,1,0
"DAIICHI JITSUGYO CO., LTD.",0.0008491396641141766,2052,8,1,0,0,0,0
Z-Obee Holdings Ltd,0.0008412213859204551,2490,8,1,0,0,0,0
Addtech AB,0.0005439623537968693,2478,10,0,0,1,0,0
Tongda Group Holdings Ltd.,0.0005279775948060529,3510,13,1,0,0,0,0
Simplo Technology Co Ltd,0.0004461370335534329,3242,9,0,0,1,0,0
Electronics Communctns Tech Inv Dev Corp,0.00036243434239245203,3025,5,0,0,0,1,0
Voltronic Power Technology Corp,0.00035862569723030534,3278,11,0,0,1,0,0
"Kyokuto Boeki Kaisha, Ltd.",0.000355881779149857,5712,12,1,0,0,0,0
Flowtech Fluidpower PLC,0.0003549603072117212,4152,10,0,0,1,0,0
HBL Power Systems Ltd,0.0003495605202880967,3191,11,0,0,0,1,0
Exide Industries Ltd,0.00034486502894185756,3230,13,0,0,1,0,0
Swelect Energy Systems Ltd,0.0002805129614087749,4094,9,0,0,1,0,0
Yuasa Battery Thailand PCL,0.00021381153019335258,3849,11,0,0,1,0,0
