name,score,document_length,url_count,coffee,drink,food,juice,water
Kristal Kola ve Mesrubat Sanayi Tic. AS,0.03143230725156856,2474,9,0,31,2,3,14
Coca-Cola Bottling Co. Consolidated,0.031162062766885892,4436,10,4,12,2,6,14
Olvi Oyj,0.031083267886704485,4744,8,2,55,7,5,8
"Leading Brands, Inc (USA)",0.029052875534729187,3967,11,0,6,0,7,34
MARR SpA,0.02850449739231309,6349,13,0,1,76,19,5
A & P Andreou & Paraskevaids Entrprs PCL,0.028232437475547243,3623,8,0,19,19,11,10
Embotelladora Andina SA (ADR),0.02738162916332564,4575,9,0,14,5,9,8
"Fomento Economico Mexicano, SAB de CV",0.026965138982650395,4032,8,1,9,8,4,11
Hung Fook Tong Group Holdings Ltd,0.026902238353011487,3882,11,0,133,7,15,0
"KAGOME CO., LTD.",0.0266560028285001,2963,7,0,11,24,14,0
Mayanot Tamda Ltd,0.02657359603932371,4145,10,4,1,5,0,19
Tri Banyan Tirta Tbk PT,0.026474517237520156,2286,7,0,4,6,0,20
Chuong Duong Beverages JSC,0.025972851924178583,5095,9,3,19,9,0,19
Yeo Hiap Seng Ltd,0.025645779024365295,5504,9,2,40,61,8,3
Societe de Fbrctn ds Bs de Tns SA,0.02556832100299024,8474,9,4,18,25,6,24
Voda Vrnjci ad Vrnjacka Banja,0.02398570333982858,3312,11,0,18,2,4,29
Seven-Up Bottling Co Plc,0.023727979389675188,4065,9,1,25,8,1,14
Maeil Dairy Industry Co Ltd,0.023575258402373026,3972,13,4,4,89,5,2
Arca Continental SAB de CV,0.023443981419923657,5150,10,0,26,3,4,21
Akasha Wira International Tbk PT,0.02332277966592028,3157,8,0,13,7,0,30
"Celsius Holdings, Inc.",0.022141942577943902,7174,17,0,34,3,0,75
Trafco Group BSC,0.021828340423468522,11791,15,10,17,144,6,20
Kofola CeskoSlovensko as,0.02103614406291427,4919,9,3,23,9,2,4
Barfresh Food Group Inc,0.02091008943076919,4122,11,1,3,98,11,2
"Coca-Cola FEMSA, S.A.B. de C.V. (ADR)",0.020118295496137854,5553,7,1,14,8,6,5
"Reed's, Inc.",0.019778235493871546,5497,10,0,30,41,8,10
Thanh Ha Production and Import Exprt JSC,0.018759285104626017,2278,11,8,0,5,0,0
Hamama Meir Trading (1996) Ltd,0.018173156867015684,3187,9,7,0,31,0,0
Tehmag Foods Corp,0.01780909256815113,2868,9,4,0,67,1,0
"Tait Marketing & Distribution Co., Ltd.",0.01647877362969371,2632,11,3,10,11,0,2
Spadel SA,0.015691525562452537,2896,7,0,6,0,0,24
"Coca-Cola FEMSA, S.A.B. de C.V.",0.014261753547424002,4213,7,1,15,2,4,4
WASGAU Produktions & Handels AG,0.014137951459133935,5177,9,4,3,85,1,0
C.W.Mackie & Co. Limited,0.014117017964576139,5043,9,0,9,20,4,12
Bio Osmo Berhad,0.013750680203403942,2920,7,0,9,4,0,12
Coca-Cola East Japan Co Ltd,0.01327741316130434,3418,12,3,16,1,2,2
Hung Viet Green Agriculture JSC,0.012848604898341087,6097,10,11,2,16,0,0
Renuka Holdings Ltd,0.01273159735377464,4574,10,0,5,50,5,5
G Willi-Food International Ltd,0.01197286494545572,5524,7,4,1,153,2,1
Coca Cola Embonor SA,0.011632076806280651,3933,10,0,13,3,2,8
"JAPAN FOODS CO., LTD.",0.011540702878719958,1888,8,2,2,76,0,5
Coca Cola Icecek AS,0.010917486334328229,4959,8,0,13,4,5,8
National Agriculture Marketing Company,0.010808147181658944,3222,8,1,2,19,2,5
Itochu-Shokuhin Co Ltd,0.010212293227892338,2808,8,3,1,40,0,0
Chellarams Plc,0.009917217738983465,1860,9,1,18,32,0,0
Bucur SA,0.009775443536431717,3733,11,2,0,17,2,4
Haad Thip PCL,0.00919334270659408,2300,7,0,10,4,0,5
Serm Suk Public Company Limited,0.00863547827814157,2831,10,0,19,7,1,6
CJ Freshway Corp,0.008151851288506363,4341,8,3,3,141,0,0
Auric Pacific Group Limited,0.00814462742503244,4890,9,2,6,90,1,1
Hispanica International Dlghts America,0.007428187250863741,4803,9,0,8,31,6,0
COCA-COLA WEST CO LTD,0.006949496670767161,3881,10,2,10,3,1,2
Pepsi-Cola Products Philippines Inc.,0.006302528690232401,3371,11,0,16,7,0,5
Mineralbrunnen Ueberkingen-Teinach AG,0.005859409671180356,7168,17,0,5,0,4,9
Foodco Holding PJSC,0.005678603865742467,4353,11,1,1,202,1,3
Hong Kong Food Investment Holdings Ltd,0.00562467853109456,3506,8,0,1,78,4,0
O'will Corporation,0.005551305821231581,1437,7,0,3,24,2,0
Carlit Holdings Co Ltd,0.004989351157504886,3512,10,0,4,3,0,5
Ichitan Group PCL,0.004799240725005363,2201,9,1,11,2,1,0
Kerur Holdings Ltd,0.004682928204532695,2913,9,0,5,14,0,4
Winner Group Enterprise PCL,0.004094831919981266,3642,13,0,2,88,4,0
Fomento Economico Mexicano SAB (ADR),0.004054906232080634,5043,7,0,4,5,1,3
Eurocash SA,0.004037103904785642,3547,9,0,3,8,2,2
"OIE SANGYO CO.,LTD.",0.003909285738117629,4500,11,1,2,51,1,2
Oishi Group PCL,0.0037053746721716512,3671,9,0,8,38,2,1
Vietnam National General Exp Imp JSC No1,0.0037042899734153166,47897,9,14,8,337,6,32
SpartanNash Co,0.0028907015354804294,5953,14,1,0,153,0,3
Grace Kennedy & Co Ltd,0.002472769870344309,4403,13,0,6,158,1,2
National Real Estate Development Co SAOG,0.0024369619324685777,5433,13,0,3,17,0,5
Booker Group Plc,0.0024331033910886517,4113,8,0,16,29,0,1
Grape King Bio Ltd,0.002202168998772431,3614,9,0,4,41,1,0
Tigaraksa Satria Tbk PT,0.0021305340937018743,1940,9,0,0,7,2,0
Yummy Town Cayman Holdings Corp,0.0017906535921051081,2324,7,0,2,13,1,0
"Satoh&Co., Ltd.",0.0009378771166541665,2054,8,0,0,46,0,2
Captiva Verde Industries Ltd,0.0007639241877544418,4680,9,0,0,3,0,3
China Gewang Biotechnology Inc,0.0007400094113250426,4367,9,0,1,20,0,2
SAF Magelan AD Sofia,0.0007056510306850687,3361,10,0,0,13,1,0
Metcash Limited,0.0006918613049177038,3172,10,0,2,51,0,2
"Core-Mark Holding Company, Inc.",0.0006551665230616758,3702,11,0,0,30,1,0
Yamatane Corporation,0.0006539379166659954,3534,10,0,4,26,0,0
China Foods Limited,0.0006394782527637549,3231,11,0,3,137,0,0
"The Chefs Warehouse, Inc",0.0004013904411534006,10757,10,0,0,192,2,2
Bayn Europe AB,0.0003467599140275487,5273,9,0,4,100,0,0
"YAMAE HISANO CO., LTD.",0.0002024168422217672,2435,8,0,1,59,0,0
Brozos Ivy Public Ltd,0.00017650803698991582,6942,10,0,0,3,0,1
"YUASA FUNASHOKU CO., LTD.",0.00014212269176452246,2917,12,0,1,21,0,0
Dairei Co Ltd,0.00014026370649762197,2945,10,0,1,26,0,0
Bunzl plc (ADR),0.0001293982176853932,3395,9,0,1,23,0,0
"OOMITSU CO., LTD.",0.00012207943834775982,3329,11,0,1,24,0,0
Saha Pathanapibul PCL,0.00011700234815395971,2658,8,0,1,11,0,0
Guangdong Guanghong Holdings Co Ltd,0.00011276947006947476,4167,10,0,1,36,0,0
Next BT Co Ltd,0.00010633797256454083,3464,9,0,1,14,0,0
Innovative Food Holdings Inc,0.00010420634025063653,4838,12,0,0,210,0,0
Hyundai Green Food Co Ltd,8.412915446880882e-05,2553,8,0,0,112,0,0
Sligro Food Group N.V.,8.03552735602014e-05,2754,8,0,0,85,0,0
Global Future City Holding Inc,5.214368018536085e-05,3118,9,0,1,1,0,0
Mitsubishi Shokuhin Co Ltd,4.811189628814766e-05,2398,8,0,0,49,0,0
"KUZE CO., LTD.",4.550508271911962e-05,1717,11,0,0,35,0,0
Colabor Group Inc,4.299539901331957e-05,2048,8,0,0,43,0,0
Bunzl plc,3.155771145792859e-05,4069,11,0,0,60,0,0
SHINYEI KAISHA,2.8590437711936414e-05,3740,10,0,0,43,0,0
Lippo China Resources Limited,2.8288180632962246e-05,2554,7,0,0,33,0,0
"ECHO TRADING CO., LTD.",2.0714993293707724e-05,2689,9,0,0,22,0,0
FKS Multi Agro Tbk PT,1.8601992810317732e-05,3591,13,0,0,23,0,0
Centroprom a.d. Beograd,1.5864993675774597e-05,3109,7,0,0,16,0,0
ELGEKA S.A.,1.0390094611389155e-05,2051,7,0,0,10,0,0
Toho Co Ltd,7.450263671915072e-07,8754,12,0,0,3,0,0
