name,score,document_length,url_count,apparels,cloth,fabric,fiber,hat,textile,wear
"Collins Co., Ltd.",0.006507612480030072,2267,8,0,25,0,0,0,4,6
Risa International Ltd,0.006410931652296207,4710,8,0,0,2,0,20,9,0
Newcity (Bangkok) Public Company Limited,0.00628784368462064,5632,8,0,19,0,0,3,6,25
Sunbridge Group Ltd,0.0062573436740825114,2751,9,0,22,0,0,1,3,3
Hakers Enterprise Co Ltd,0.006189037754500115,3961,11,0,14,0,0,0,7,25
Luen Thai Holdings Ltd,0.006097059248973751,3044,9,0,3,0,0,0,16,16
WACOAL HOLDINGS CORP.,0.006075115731285273,56738,6,0,9,13,0,0,31,275
Tan Mai General Wood JSC,0.006010690944515093,3066,9,0,0,4,0,8,1,0
SANYO SHOKAI LTD.,0.005917224105419607,4010,14,0,23,0,0,1,5,16
CALIDA Holding AG,0.005281442990239533,1948,7,0,6,0,0,0,1,22
Zhejiang Semir Garment Co Ltd,0.0051340108737189215,3389,9,0,41,0,0,5,0,2
Varteks d.d.,0.004783065706255904,3558,9,0,11,3,0,0,7,2
Burberry Group plc,0.004623079220688282,5513,10,0,8,2,0,2,3,18
"Hubei Mailyard Share Co., Ltd.",0.004609821311910292,3615,9,0,7,0,0,3,4,3
Cosmo Lady China Holdings Co Ltd,0.004576051066625291,2938,8,0,6,0,0,0,4,21
Regina Miracle International Holdngs Ltd,0.004537518895683788,3204,12,0,0,0,0,0,3,39
Moryo Industries Ltd,0.0043342058142730065,5081,10,0,0,0,0,14,12,0
LANAKAM S.A.,0.004104367948581706,3646,7,0,2,5,0,2,11,9
ISTRA dd,0.004066971781492982,5214,11,0,8,2,0,2,5,5
Zhejiang Giuseppe Garment Co Ltd,0.003936792509970947,3219,7,0,8,0,0,4,2,3
V-Grass Fashion Co Ltd,0.0038596068617640215,3089,8,0,4,0,0,5,2,3
In the F CO LTD,0.0036559647018548076,2445,10,0,0,0,1,0,2,0
Munsin Garment Corporation,0.0036023796302494387,3224,9,0,12,0,0,2,0,13
Dagi Giyim Sanayi ve Ticaret AS,0.003471766531887232,2568,13,0,0,1,0,0,6,13
Thai Wacoal Public Company Limited,0.0033447005289602514,2461,8,0,4,0,0,0,3,15
"TOKYO SOIR CO.,LTD.",0.0031204069249894436,3371,9,0,13,0,0,1,2,9
"Hansae Co., Ltd.",0.0030562548378094056,3290,8,0,11,0,0,2,1,7
Delta Galil Industries (ADR),0.0028443999325898995,5100,9,0,4,0,0,2,0,28
Handsome Corp,0.0026309019782810943,2470,11,0,1,0,0,3,0,4
China Dongxiang (Group) Co Ltd,0.002506064548316184,3498,9,0,0,0,0,0,4,19
LF Corp,0.0023673416836588876,4776,14,0,6,0,0,0,2,29
Hanbo Enterprises Holdings Ltd,0.0023037416060060316,6181,12,0,2,2,0,2,7,3
Tristate Holdings Limited,0.0020662066311497957,3119,7,0,3,0,0,1,2,6
Shanghai Lansheng Corporation,0.002060926346805378,3268,9,0,0,0,0,2,3,10
China Lilang Ltd,0.0020308557735968795,4254,8,0,3,0,0,2,2,11
Makoteks AD Skopje,0.0018822006127968793,2468,8,0,1,1,0,0,9,0
Marumitsu Co Ltd,0.0012880004667479986,3188,9,0,15,0,0,1,0,2
Armeyski Holding AD,0.0009560357558166241,8980,5,0,7,0,0,6,0,0
NR 21 SA,0.0008926722089677623,6440,10,0,3,2,0,0,0,8
Sinar OAO (P),0.0008673039737616116,1025221,9,0,11,13,6,223,11,86
Pergamon-Status Dis Ticaret AS,0.0008485394135698785,2772,13,0,0,0,0,0,7,1
Runway Global Holdings Co Ltd,0.0003299290917714965,3436,8,0,0,0,0,0,2,6
Broke Out Inc,0.0002129899987616817,3838,9,0,1,0,0,2,0,2
Solar Company SA,0.00020512909881023123,4382,10,0,2,0,0,1,1,0
TOPBI International Holdings Ltd,0.00013861428388007457,2294,9,0,1,0,0,0,2,0
Shinsegae International Inc,0.00010433141270739482,2952,10,0,0,0,0,1,0,2
