name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
Flat Glass Group Co Ltd,0.0010818434168728866,3892,9,0,7,21,1,0,1,0
Eastern Platinum Ltd.,0.0010645760185628854,6171,11,0,4,8,11,0,2,0
ams AG,0.0010548692173608046,6640,12,0,23,4,0,0,0,0
China Tungsten and Hightech Mtrls Co Ltd,0.001042286110522088,4357,8,0,0,4,21,0,2,0
"Macronix International Co., Ltd.",0.0010120412790485171,5253,11,0,13,6,2,0,0,0
Taiwan Semiconductor Mfg. Co. Ltd. (ADR),0.0010109327461099449,8970,11,0,4,18,2,0,10,0
Suzhou Chunxing Precision Mechncl Co Ltd,0.001000906814547293,3140,8,0,0,5,9,0,1,0
Sang-A Frontec Co Ltd,0.0009932363643979417,2925,8,0,0,8,4,0,4,0
Daejoo Electronic Materials Co Ltd,0.0009581925045443555,2964,9,0,0,10,4,0,3,0
"Yunnan Luoping Zinc & Elec. Co., Ltd.",0.0009419683568679998,4696,8,0,0,15,15,0,1,0
Jiangsu Nata Opto-electronic Materia,0.0009401444816800629,2988,9,0,1,3,7,0,1,0
Aptos Technology Inc.,0.0009331778815719829,2793,11,0,5,7,0,0,2,0
Shenzhen Everwin Precision Technology Co,0.000931529977522348,2144,6,0,1,0,13,0,2,0
Pangang Group Vndm Tm & Res Co Ltd,0.0009082192792027838,3330,9,0,8,8,0,0,2,0
"Do-Fluoride Chemicals Co.,Ltd.",0.000905150539368897,2073,8,0,2,7,5,0,2,0
"Tibet Mineral Development Co., Ltd",0.0008917075463135106,5188,9,0,0,12,17,0,2,0
"Shin Zu Shing Co., Ltd.",0.0008608405922270659,2164,9,0,0,4,9,0,0,0
IDM International Ltd,0.000853864472635428,2515,8,0,1,6,3,0,1,0
SK Hynix Inc,0.0008502950400526606,6941,13,0,10,7,1,0,2,0
Lingbao Gold Co Ltd,0.0008477139631782506,3118,10,0,1,0,12,0,1,0
"Shaanxi Xinghua Chemistry Co., Ltd.",0.0008300981193885495,4344,9,0,8,1,1,0,2,0
Geodex Minerals Ltd,0.0008169615638672301,2439,8,0,0,0,21,0,0,0
KEC Corp.,0.0007678196848860416,3402,12,0,1,5,4,0,1,0
All Star Minerals Plc,0.0007645890411067423,7530,9,0,2,11,7,0,3,0
Taiwan Semiconductor Mfg. Co. Ltd.,0.0007639444156641749,9196,12,0,4,11,1,0,5,0
ELK Corp,0.0007637833422155619,2825,7,0,1,3,3,0,1,0
Yong Thai Public Company Limited,0.0007466813345569241,4415,12,0,3,4,3,0,1,0
Beijing Kingee Culture Development,0.0007379740640232337,3125,9,0,0,3,9,0,2,0
Elementis plc,0.000735044569290269,3636,12,0,2,4,7,0,2,0
Shaanxi Ligeance Mineral Resourcs Co Ltd,0.0007338729598353829,4213,8,0,0,5,11,0,1,0
China Northern Rare Earth Gp H-T Co Ltd,0.0007335096817449154,5334,12,0,1,1,20,0,2,0
HOYA CORPORATION,0.00071933366788921,3811,12,0,5,10,1,0,0,0
Cando Corp,0.0007141230605920791,4939,9,0,2,4,2,0,6,0
"Shindengen Electric Mfg. Co., Ltd.",0.0007023363227478047,5699,16,0,7,6,2,0,1,0
"Silicon Optronics, Inc.",0.0006995347772939946,2781,9,0,0,3,5,0,3,0
Diodes Incorporated,0.0006643152373517954,4932,12,0,4,9,0,0,4,0
"Xiangtan Electrochemical Scie. Co., Ltd.",0.0006553104500081455,3747,7,0,0,9,9,0,1,0
Pixelplus Co Ltd,0.0006514681936181692,3778,11,0,0,8,3,0,3,0
"Unity Opto Technology Co., Ltd.",0.0006501033703803054,4448,8,0,4,6,2,0,1,0
Excelliance Mos Corp,0.0006158052846403825,3239,12,0,0,5,9,0,0,0
Akzo Nobel N.V.,0.0006060707602335471,3410,8,0,0,11,4,0,1,0
Everlight Chemical Industrial Corp.,0.0006043422792231602,3615,13,0,3,9,0,0,1,0
Semicon Light Co Ltd,0.0005990778029638069,7567,18,0,3,11,6,0,0,0
Semiconductor Manufacturing Int'l,0.0005967835821139,5600,6,0,1,8,0,0,9,0
Kuroda Electric Co Ltd,0.0005718970862656668,2302,7,0,0,4,4,0,1,0
BE Semiconductor Industries NV,0.0005704814822920304,2897,7,0,1,0,5,0,1,0
Advanced Microelectronic Products Inc.,0.000561560288478749,2254,7,0,0,5,4,0,2,0
Yeebo (International Holdings) Ltd,0.0005554756780080713,3654,8,0,4,16,0,0,0,0
Boksit a.d. Milici,0.0005470157599791889,5953,15,0,0,2,24,0,2,0
PLA Co Ltd,0.0005455867278251311,2383,13,0,5,0,1,0,0,0
Akzo Nobel N.V. (ADR),0.0005376539185563237,8479,10,0,2,16,10,0,2,0
PixArt Imaging Inc.,0.0005345513653705504,3239,10,0,2,16,1,0,1,0
Argex Titane Inc,0.0005045151318582374,5180,12,0,8,3,0,0,0,0
Cavium Inc,0.0004958065170004186,6050,8,0,2,7,0,0,9,0
Rusal Sayanogorskiy Alyumny Zavod AO (P),0.00048763688103741355,3174,3,0,8,8,1,0,0,0
G-Smatt Global Co Ltd,0.00047524743432426333,2534,8,0,0,5,3,0,1,0
Silitech Technology Corporation,0.0004412336950881707,2805,9,0,1,2,2,0,3,0
SAN CHIH Semiconductor Company,0.0004402901731895704,3959,10,0,3,8,0,0,1,0
MGT Resources Ltd,0.00043761558567106663,7562,11,0,6,11,7,0,1,0
HannStar Display Corp,0.00043013889586153556,2295,11,0,2,25,0,0,1,0
Vanguard Int'l Semiconductor Corp.,0.00042603503830284566,2961,7,0,1,1,0,0,3,0
Phoenitron Holdings Limited,0.00042591107285132703,2663,7,0,0,7,5,0,0,0
KEC Holdings Co Ltd,0.00042194184029979004,2993,9,0,0,8,3,0,1,0
Advanced Medical Isotope Corp.,0.00041891102867780324,4260,7,0,0,0,4,0,3,0
Hemijska Industrija Zupa Krsvc u restktj,0.00039762715493447205,2541,6,0,1,7,2,0,1,0
"ANADIGICS, Inc.",0.00037306501727041134,4357,6,0,0,12,2,0,3,0
GTM Holdings Corp,0.00036084409018945153,3459,8,0,0,5,3,0,2,0
Abico FS Co Ltd,0.00035605917364778716,4062,10,0,0,5,3,0,1,0
GemVax Technology Co Ltd,0.0003530951978120258,3007,8,0,0,13,0,0,3,0
Namibia Rare Earths Inc,0.00033822335357814427,1693,5,0,0,2,7,0,0,0
Brightking Holdings Ltd,0.0003187647371370645,2737,12,0,0,5,3,0,0,0
INESA Electron Co Ltd,0.0003118629346989806,5047,9,0,2,6,4,0,0,0
Tronics Microsystems SA,0.00029847047018083123,2860,9,0,0,1,3,0,1,0
YMC Co Ltd,0.0002878097844891623,6215,14,0,1,7,7,0,0,0
"Display Tech Co., Ltd.",0.00028574311275191217,2266,8,0,0,43,2,0,0,0
"Data International Co., Ltd",0.0002776236098314457,2686,9,0,1,6,1,0,0,0
Sinopower Semiconductor Co Ltd,0.00026924364246977265,3443,14,0,2,7,2,0,2,0
Semiconductor Manufacturing Int'l (ADR),0.000263829271841578,3748,9,0,0,2,0,0,9,0
"Shenzhen Inovance Technology Co., Ltd",0.0002525527923707571,1940,9,0,1,1,2,0,1,0
Ust'-Kamenogor. titan. magn. kombinat AO,0.0002495106276809831,141230,9,0,71,111,53,0,1,0
KenMec Mechanical Engineering Co. Ltd.,0.0002466856011717027,2742,9,0,0,8,1,0,2,0
Dongbu HiTek Co Ltd,0.00021736322499011675,3452,7,0,0,8,1,0,2,0
"Pixelworks, Inc.",0.0002082173042105234,4619,9,0,2,2,0,0,4,0
eASIC Corp,0.00020510002162079692,4905,13,0,3,0,2,0,1,0
ViXS Systems Inc,0.00020002961244891464,3452,10,0,0,1,0,0,4,0
"U.I. Display Co., Ltd.",0.0001970157223907656,7005,12,0,1,21,2,0,0,0
SAN-EL Muhendislik Elektrik Taahhut San,0.00019585169605227295,1424,6,0,1,5,0,0,0,0
Elite Advanced Laser Corporation,0.000189803466172185,2843,10,0,2,6,0,0,0,0
