name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
TOWA CORPORATION,0.001462502818770862,3571,12,0,0,0,0,0,0,23,0
Eva Technologies Co Ltd,0.001450681002069488,4819,14,0,0,0,0,0,2,1,0
Hunan China Sun Pharmactcl Mchnry Co Ltd,0.0014055638734494097,4057,10,0,0,0,1,0,0,0,0
Singer Industries (Ceylon) Limited,0.0013860095536896231,3369,9,0,0,0,0,1,0,1,0
ASM International NV (Amsterdam),0.001352442128088295,5958,13,0,0,0,0,0,0,26,0
Top Engineering Co Ltd,0.001279944749701705,1945,9,0,0,0,0,0,0,10,0
ASM Pacific Technology Limited,0.0012717061844236476,5537,10,0,0,0,0,0,0,22,0
"SNU Precision Co., Ltd.",0.0012451840140032906,1934,9,0,0,0,0,0,0,9,0
Global Testing Corporation Limited,0.0012442107122188828,3793,8,0,0,0,0,0,0,13,0
LIG Invenia Co Ltd,0.0012159922184644346,2407,9,0,0,0,0,0,0,11,0
Suss MicroTec AG,0.0011951081739544453,5698,14,0,0,0,0,0,0,22,0
ASML Holding NV (ADR),0.0011241360009573557,6177,14,0,0,0,0,0,0,19,0
Ace Hightech Co Ltd,0.0011070861979831186,3599,8,0,0,0,0,0,0,13,0
Dalian Zhiyun Automation Co Ltd,0.0010876674235812222,3614,9,0,1,0,0,0,0,0,0
UMS Holdings Limited,0.0010758953863551522,7504,11,0,0,0,0,0,0,21,0
Guangdong Yizumi Precision Mchnry Co Ltd,0.0010506132229847638,5624,13,0,0,0,1,0,0,0,0
SHINKAWA LTD.,0.001037748422486825,1667,8,0,0,0,0,0,0,6,0
"Hanyang Eng Co., Ltd.",0.0010364517173359748,2374,8,0,0,0,0,0,0,9,0
ARES GREEN TECHNOLOGY CORPORATION,0.0010179530379460931,3270,9,0,0,0,0,0,0,8,0
3S Korea Co Ltd,0.0010005100858993998,2463,9,0,0,0,0,0,0,8,0
"Intevac, Inc.",0.0009782616575721424,12946,9,0,0,0,0,0,0,17,2
Chen Full International Co Ltd,0.0009403010854780204,3985,8,0,0,0,0,0,0,10,0
