name,score,document_length,url_count,cable,rental,telecommunications
Hits Telecom Holding Co. K.S.C.C.,0.0004311192634774449,2957,10,0,0,1
Telekom Austria AG (ADR),0.00037823097206574237,4067,10,1,0,0
Wataniya Palestine Telecom,0.00036767809940306805,3128,9,0,0,1
Crystal Telecom,0.000358589806437522,4130,8,0,0,1
China Telecom Corporation Limited (ADR),0.00034784251906794787,5061,10,1,0,0
Ainmt AS,0.00034180059204526303,4942,9,1,0,0
AFK Sistema PAO (EDR),0.00033250182530819203,4582,9,0,0,1
Crnogorski Telekom ad Podgorica,0.00031624785274238313,4112,9,0,0,1
"Competitive Companies, Inc.",0.0003105448567080343,4724,9,0,0,1
Nuran Wireless Inc,0.0003063409770030084,3901,10,1,0,0
Financial Assets Management Group SA,0.0002992024530377293,5209,11,0,0,1
Budget Telecom,0.00022173144919447436,7473,9,0,0,1
Telekom Austria AG,0.00017872820519494284,6338,10,1,0,0
