name,score,document_length,url_count,alcohol,beer,cider,drinking,spirit,wine
Rocky Mountain Liquor Inc,0.016979793082988956,1951,8,0,6,0,0,6,6
Young & Co.'s Brewery plc,0.01672448007573345,4808,7,3,18,0,1,2,3
Voda Vrnjci ad Vrnjacka Banja,0.014859886883118756,3330,11,19,3,0,0,3,3
Liquor Stores N.A. Ltd,0.014592435415843617,5025,9,9,6,0,0,9,26
Major Holdings Ltd,0.014521706778018551,3168,9,0,0,0,0,13,37
Punch Taverns plc,0.014414214219164525,2451,6,0,4,0,0,16,0
Les Toques Blanches du Monde SARL,0.014372392239782605,11593,8,0,13,1,0,6,16
Citic Guoan Wine Co Ltd,0.014336066281225506,3266,9,0,0,0,0,4,81
Vina Concha y Toro SA (ADR),0.014333804488024713,6346,9,3,1,0,0,3,68
Pinar Su Sanayi ve Ticaret A.S.,0.012729618133152697,2885,8,26,6,0,0,0,2
Staatl Mineralbrunnen AG,0.012669450892813138,2297,7,15,3,0,0,0,1
Wei Long Grape Wine Co Ltd,0.012625652212142173,3588,9,1,0,0,0,0,131
Vinarska Vizba Tikves AD Skopje,0.012166180911961625,4604,10,13,0,0,0,9,35
Akasha Wira International Tbk PT,0.01107655757315943,3518,9,3,0,0,10,0,0
Moskovskiy kombinat shampan. vin OAO,0.010803932192526232,2417,7,5,5,0,0,1,4
Les Eaux Minerales d'Oulmes SA,0.010752648110892228,5171,10,20,2,1,1,0,3
Advini SA,0.01043013053883262,3377,9,0,0,0,0,0,142
Armeau Brands Inc,0.010424161790935808,19378,10,9,0,0,0,1,224
Sociedad Anonima Vina Santa Rita,0.010089867876008652,5230,9,1,1,0,1,7,24
Alkaline Water Company Inc,0.01008836635109497,4605,13,4,0,0,10,1,2
Booker Group Plc,0.009531926225350523,4109,8,5,3,0,0,4,4
Enterprise Inns plc,0.009343085074249764,4190,7,3,10,0,1,2,2
"Tonghua Grape Wine Co., Ltd",0.009102809727508853,2597,9,0,0,0,0,0,121
KTIMA KOSTAS LAZARIDIS S.A.,0.008014982772067419,3405,8,2,0,0,0,5,28
Shake Shack Inc,0.00785221532343238,8685,9,0,19,0,0,1,16
Baron de Ley SA,0.007762114578032963,2672,9,0,2,0,0,2,57
Dave & Buster's Entertainment Inc,0.007640097774586766,11082,9,39,2,0,1,3,0
China Ouhua Winery Holdings Ltd,0.007286221177913834,3240,6,1,0,0,0,0,51
Nuway Organic Naturals India Ltd,0.0063701562460930375,5236,8,5,0,0,4,0,4
Gansu Mogao Industrial Development Co.,0.006361661787633261,3205,8,0,0,0,0,1,49
"KATO SANGYO CO., LTD.",0.00620627711032716,2298,8,9,2,0,0,1,1
"Anhui Golden Seed Winery Co., Ltd.",0.004524406113959258,3119,8,0,0,0,0,0,56
Saigon Industrial Foodstuffs JSC,0.0038096650204464347,6088,10,2,5,0,1,0,3
New Silkroad Culturaltainment Ltd,0.0038018930648731426,3510,9,2,0,0,0,1,25
Buffalo Wild Wings,0.0036581102560328863,2749,14,0,5,0,0,0,6
Bloomin' Brands Inc,0.0035116293342865746,2958,10,0,1,0,0,2,21
Auric Pacific Group Limited,0.003412566579208079,5312,10,2,1,0,1,1,6
"BJ's Restaurants, Inc.",0.0031362221698199608,4110,6,0,12,0,0,0,0
Kona Grill Inc,0.0031091779434310137,2165,9,0,3,0,0,0,3
Bodegas Esmeralda SA,0.002703509048961971,1851,10,0,0,0,0,0,24
Khanh Hoa Mineral Water JSC,0.002666592582680243,3067,10,1,3,0,1,0,0
Gulfa Mineral Water & Processing Ind Co.,0.0026088681558950927,3363,8,11,0,0,0,0,1
Cantho Tourist JSC,0.0024594825327884377,5886,10,0,0,0,3,1,1
"The Chefs Warehouse, Inc",0.001956840729721125,5815,11,0,0,2,0,0,9
Ningxia Western Venture Industrial CoLtd,0.001917652383630711,4013,10,5,0,0,0,0,7
Dongsuh,0.001915433930829626,8491,12,1,0,1,0,0,4
Harrisons Holdings Malaysia Bhd,0.001783874336099191,4820,9,0,2,0,2,0,8
China Foods Limited,0.0017358180822939161,3698,11,0,0,0,0,0,24
Brand New Vintage Limited,0.0016579502706952742,3709,8,0,0,0,0,0,25
Mineralbrunnen Ueberkingen-Teinach AG,0.0015712834274280044,3089,13,3,0,0,2,0,0
Jamnica dd,0.0014662844375605583,2850,10,3,0,0,0,1,1
"ROYAL HOLDINGS CO., LTD.",0.0014588571638057028,4068,9,0,6,0,0,0,0
Eurocash SA,0.0013619598341915377,3546,9,4,2,0,0,0,0
JALUX Inc.,0.001330059227855709,3060,9,2,0,0,0,0,12
McDonald's Corporation,0.001172228583673492,62064,17,4,23,0,0,0,1
DAISYO CORPORATION,0.0011694410083034714,1812,10,0,0,0,2,1,0
Sonic Corporation,0.0011119135445563128,47003,14,1,16,0,0,3,2
Renuka Holdings Ltd,0.0010965478218138735,5599,11,0,0,0,3,0,0
National Mineral Water Company SAOG,0.00106711802641503,18814,9,12,0,0,0,0,5
Tri Banyan Tirta Tbk PT,0.0010391480441129485,2657,8,5,0,0,0,0,0
j-Group Holdings Corp,0.001016507453506447,9906,8,0,2,0,1,1,1
Itochu-Shokuhin Co Ltd,0.0010014369865606668,2805,8,6,0,0,0,0,0
WASGAU Produktions & Handels AG,0.000985208685476296,4563,9,0,0,0,1,0,3
Herfy Food Services Co,0.0009789858195327027,5202,13,3,0,0,1,0,0
Boston Pizza Royalties Income Fund,0.0009640769355869712,7123,9,0,3,0,0,0,5
"Diamond Dining Co., Ltd.",0.000949466495466605,5657,16,0,0,0,2,0,4
"YUASA FUNASHOKU CO., LTD.",0.0009084876442850525,2918,12,5,0,0,0,0,0
Good Times Restaurants Inc.,0.0008734280586961292,6008,11,0,5,0,0,0,0
"TOKYO THEATRES COMPANY, INCORPORATED",0.0008603949771927294,6146,10,0,0,0,0,8,0
Telepizza Group SA,0.0008320759247359036,5602,14,1,1,0,0,1,0
Del Frisco's Restaurant Group Inc,0.0008072535201568066,5565,11,1,0,0,0,0,10
Lanson BCC SA,0.0007999311597406271,2814,9,0,0,0,0,0,8
"UMENOHANA CO., LTD.",0.0007565528464806625,1616,7,0,0,0,0,1,1
Spar Group Limited,0.000750660672006104,6939,9,1,1,0,0,1,1
Metcash Limited,0.0006997424048270718,3850,10,1,0,0,1,0,0
"TEN ALLIED CO., LTD.",0.0006468053479788051,4351,13,5,0,0,0,0,0
"Darden Restaurants, Inc.",0.0005840355143412526,9957,16,1,3,0,0,0,2
Dingyi Group Investment Ltd,0.0005723462208687534,3418,8,0,0,0,0,0,8
Watami Co Ltd,0.0005175209460974927,4522,10,1,0,0,2,0,0
Viet Nam National Generl Exp Imp JSC No1,0.0005060107770281267,5098,8,2,2,0,1,0,0
SpartanNash Co,0.0004411497108609889,5918,14,0,1,0,0,0,3
"HUB CO., LTD.",0.0003503703108721679,3472,13,0,1,0,0,0,1
An-Shin Food Services Co Ltd,0.0003236100487998124,2747,9,0,0,0,1,0,0
Bayn Europe AB,0.00031573490893536737,5003,9,4,0,0,0,0,0
Kisoji Co Ltd,0.00031234872698890744,2632,11,0,0,0,0,0,3
MARCHE CORPORATION,0.00029880671550329467,4292,9,2,1,0,0,0,0
TTFB Co Ltd,0.0002933172111746121,4738,9,0,1,0,0,0,1
J Alexanders Holdings Inc,0.00029265384873884193,6324,12,1,1,0,0,0,2
Crystal Rock Holdings Inc,0.000291039090626976,5030,11,2,0,0,1,0,0
Bucur SA,0.0002053681644943533,3701,11,2,0,0,0,0,1
Rave Restaurant Group Inc,0.00019677917609102572,5141,10,0,1,0,0,0,1
IPAL  S.A.,0.00019547239556469878,3545,8,0,0,0,0,1,0
Tung Lok Restaurants (2000) Ltd.,0.00016919513723450219,4626,12,0,0,0,0,0,3
"Core-Mark Holding Company, Inc.",0.00014867654908920172,3833,11,2,0,0,0,0,1
Schlumberger AG,0.00011580646918594636,11835,15,0,1,0,0,0,1
Grace Kennedy & Co Ltd,9.723106169763457e-05,4370,13,0,1,0,0,0,0
"Tokan Co., Ltd.",9.704896101978427e-05,2536,9,1,0,0,0,0,0
Jammin Java Corp,2.715562596505512e-05,4486,9,0,0,0,0,0,1
Cosi Inc,2.6438779216906914e-05,6652,10,0,0,0,0,0,1
"Papa John's Int'l, Inc.",1.828993204985911e-05,46296,18,0,0,0,0,2,1
Panera Bread Co,1.7342753306619e-05,8171,17,0,0,0,0,0,1
