name,score,document_length,url_count,car,engine,industrial,lubricant,lubricate,oil
Slavneft'-Yaroslavnefteorgsintez OAO,0.005848574042294824,3237,9,12,3,6,2,0,55
Petrolimex Petrochemical Corporation JSC,0.005544810682805306,5478,10,32,6,1,7,0,40
Shell Oman Marketing Company SAOG,0.005039979811204907,5034,12,49,3,3,17,0,58
Hardcastle & Waud Manufacturing Co Ltd,0.004938013623676668,3867,12,22,0,22,46,0,75
SK Innovation Co Ltd,0.004824820536071329,8498,13,14,6,4,38,0,93
KenolKobil Ltd,0.004569255048408266,4070,13,65,2,6,37,0,42
OMV Petrol Ofisi AS,0.004531796025383246,3115,8,14,2,5,14,0,29
Petrolina (Holdings) Public Ltd,0.004517275906210719,2836,11,4,2,10,11,0,19
Susco PCL,0.004367156321983278,2716,9,5,1,8,7,0,23
Esso (Thailand) PCL,0.004256921711110751,6301,12,25,3,5,16,0,57
ELINOIL Hellenic Petroleum Company S.A.,0.004152072365927018,6197,8,10,4,12,35,0,111
"Kukdong Oil & Chemicals Co., Ltd.",0.004144303939267762,2256,9,3,0,14,24,0,94
Tianjin Sure Energy Lubrctn Tech Co Ltd,0.00359192175046311,2744,10,0,3,3,3,0,15
The Bangchak Petroleum Public Co. Ltd.,0.003532024850230147,3585,8,18,1,8,6,0,48
Neftemaslozavod OAO (P),0.003529258083099193,4607,9,14,2,4,4,0,43
Cosan SA Industria e Comercio,0.003393446793689786,4535,9,13,2,6,16,0,22
Itochu Enex Co Ltd,0.003384450379320576,5065,12,63,2,13,3,0,38
BP plc,0.003357734049026544,18586,9,76,8,8,14,0,447
Sea Oil PCL,0.0033445216081500716,2927,8,2,2,5,16,0,99
Qatar Fuel QSC,0.0029827213845736496,7071,15,42,2,12,15,0,63
IRPC Public Company Limited,0.0028691663319986567,6416,9,20,2,17,5,0,59
"Hankook Shell Oil Co., Ltd",0.002814969061463794,3869,9,7,1,4,14,0,104
Ina dd,0.002769705830670483,3915,7,15,1,3,20,0,81
Cosan Limited,0.002534107043192385,2942,9,4,0,6,26,0,9
Ha Tay Petrolimex Transport & Ser,0.002422787208904762,4613,9,14,2,4,2,0,28
Valero Energy Corporation,0.00222712688208041,11739,11,84,3,4,3,0,100
Ultrapar Participacoes SA (ADR),0.002131231575512851,3695,7,24,1,3,2,0,13
Empresas Copec SA,0.0020398348884829967,5995,8,18,1,7,6,0,24
Oman Oil Marketing Company SAOG,0.0020235582080919555,5311,12,50,1,2,28,0,174
Aegean Marine Petroleum Network Inc.,0.0020009205519594133,5218,13,4,2,0,29,0,33
Vung Ang Petroleum Joint Stock Company,0.0019082306803857325,7237,11,19,3,0,1,0,45
Motor Oil (Hellas) Corinth Refineries SA,0.0018752696151725138,3493,10,8,0,9,10,0,104
HollyFrontier Corp,0.001777893915456609,1890,12,19,0,2,26,0,40
Petrolimex Hanoi Trans & Trading JSC,0.0015376302831884379,5214,9,14,2,0,1,0,10
"Calumet Specialty Products Partners, L.P",0.0015236047018268928,5429,10,26,0,9,28,0,99
Saigon Fuel JSC,0.0014841938020134133,4239,9,17,1,2,7,0,33
Cmistone Viet Nam JSC,0.0014128654798480206,2685,10,15,1,1,0,0,15
Aldrees Petroleum &Transport Services,0.0013701712685327222,4425,12,39,2,1,2,0,35
Hascol Petroleum Ltd,0.0013597284097208342,2948,6,2,0,5,15,0,25
GOCL Corp Ltd,0.0013523906347763497,4918,9,15,0,10,4,0,26
Puma Energy Zambia PLC,0.0013013355527755658,5428,11,9,0,3,30,0,54
Revoil S.A.,0.0010781234505013073,3736,8,10,0,4,5,0,116
Cosan Limited(USA),0.0010609827041375712,3705,8,8,0,3,14,0,11
Hydrodec Group plc,0.001007444131857827,2324,9,11,0,3,4,0,106
