name,score,document_length,url_count,accessories,acp,board test,consulting,dc power,dram,flash,foundry,infinity,logic,market,mmw,parametric,power system,radar,reliability test,repair,rf,signal integrity,software,specialty,test,vacuum system
Pinnacle Technology Group PLC,0.04466264225289733,2924,10,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,4,7,20,0
Mistras Group Inc,0.04375157178376443,4161,10,4,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,5,0,36,0,28,0
TSS Inc,0.04320535977678047,3781,12,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,5,6,0,2,0,13,0
Cartesian Inc,0.04187272090853397,3376,12,0,0,0,0,0,0,3,0,2,5,22,0,0,0,0,0,0,6,0,0,0,6,0
WS Atkins PLC,0.04170239361287839,5113,9,0,0,0,6,0,0,0,0,0,29,24,0,0,0,0,0,1,6,0,7,0,8,0
K WAY INFORMATION CORPORATION,0.04142817180409598,4073,8,0,0,0,0,0,8,0,0,0,0,49,0,0,0,0,0,0,4,0,35,0,2,0
Oakton Limited,0.04071532695435615,6226,10,3,0,0,2,0,0,1,0,0,1,38,0,0,0,0,0,0,6,0,12,2,56,0
Leidos Holdings Inc,0.03961518144614222,12110,10,0,0,1,7,0,0,8,2,0,2,67,0,0,0,0,0,0,77,0,23,1,10,0
Nippon Office Systems Limited,0.038372123161816096,2233,7,0,0,0,4,0,0,1,0,0,0,11,0,0,0,0,0,4,3,0,11,0,2,0
Beng Kuang Marine Limited,0.036980452884615794,2825,9,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,7,4,0,0,0,9,0
SOFTBANK TECHNOLOGY CORP.,0.0360261749229268,5998,7,0,0,0,9,0,3,0,2,0,0,45,0,0,0,0,0,0,9,0,12,0,8,0
Nnit A/S,0.035183393198835226,5696,10,0,0,0,4,0,2,0,0,0,0,15,0,0,0,0,0,0,4,0,19,6,7,0
Unisys Corporation,0.03487102922688157,10334,12,0,0,0,24,0,0,0,2,0,1,34,0,0,0,4,0,0,9,0,59,0,25,0
"Beijing Teamsun Technology Co., Ltd.",0.034556378263452495,3565,11,0,1,0,16,0,0,1,0,0,1,43,0,0,0,0,0,0,16,0,21,0,3,0
DGC One AB,0.034023894796781855,5768,12,0,0,0,2,0,0,1,0,0,1,52,1,0,0,1,0,0,14,0,5,0,10,0
DKSH Holding AG,0.033998035033101615,4845,10,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,2,21,0,0,10,5,0
S Net Systems Inc.,0.03359885696566856,3344,7,0,0,0,7,0,0,0,0,0,0,30,0,0,0,0,0,4,4,0,8,0,2,0
Showa System Engineering Corp,0.03207444537622122,2977,15,1,0,0,5,0,0,1,0,0,1,10,0,0,0,0,0,1,5,0,19,0,8,0
Yehey! Corp,0.03202852408202062,3333,8,0,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,4,8,0,3,0,2,0
Adways Inc,0.031992707520547344,2444,8,0,0,0,0,0,0,0,0,1,1,40,0,0,0,0,0,0,11,0,5,2,2,0
AG dd,0.03182878668284976,5730,6,0,0,0,3,0,0,0,0,0,6,13,0,0,0,0,0,2,26,0,17,1,10,0
Scangroup Limited,0.031067750645481722,3929,11,0,0,0,2,0,0,0,0,0,0,64,0,0,0,0,0,0,13,0,0,9,9,0
CCR Logistics Systems AG,0.031063469296648164,3404,9,0,0,0,7,0,0,2,0,0,2,26,0,0,0,0,0,3,13,0,28,0,6,0
Atos SE,0.030865901004447735,8122,12,1,0,0,60,0,0,0,2,0,2,20,0,0,0,0,0,0,43,0,22,0,17,0
Estore Corp,0.030050012051752128,2817,10,2,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,2,2,0,3,0,1,0
Beijing V-simtone Technology JSC Ltd,0.029987976107231928,349247,6,1,6,0,39,1,44,32,3,4,211,301,1,0,2,2,0,4,521,0,263,4,473,0
Huron Consulting Group,0.029896482037887914,9091,14,0,0,0,322,0,0,0,0,0,0,14,0,0,0,0,0,0,19,0,21,0,12,0
TECHMATRIX CORPORATION,0.029883414706779885,5880,9,0,0,0,8,0,0,0,0,0,6,41,0,0,0,0,0,3,23,0,30,0,42,0
Ecosciences Inc,0.029228325198073217,4939,10,0,0,0,1,0,0,1,0,0,22,66,0,0,0,0,0,1,4,0,0,0,5,0
Icraft Co Ltd,0.029199492962058725,2472,12,0,0,0,9,0,0,0,0,1,0,19,0,0,0,0,0,0,14,0,3,0,4,0
Tihama Advert. Public Relat. & Markting,0.029076342029061453,4702,7,0,0,0,1,0,0,0,0,0,0,49,0,0,0,0,0,7,11,0,2,0,1,0
Himacs Ltd,0.028705139297430238,1876,9,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,2,40,0,2,1,8,0
Progressive Green Solutions Inc,0.028594191192185002,2875,9,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,5,4,0,0,0,3,0
Weborama SA,0.028269143583231748,5637,13,0,0,0,1,0,0,6,0,0,4,46,0,0,0,2,0,0,9,0,3,0,7,0
Nexeya SA,0.02772014095158661,5112,12,0,0,0,1,0,0,0,0,0,8,33,0,0,0,1,0,1,4,0,5,0,62,0
Booz Allen Hamilton Holding Corporation,0.025903411519046435,20692,19,0,0,0,150,0,1,0,2,0,0,80,0,0,0,0,0,1,42,0,29,3,17,0
United Inc,0.025673582497655403,4801,14,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,1,3,5,0
Consort NT SA,0.02566875231172437,5818,11,0,0,0,13,0,0,1,0,0,4,88,1,0,0,0,0,0,16,0,4,0,4,0
Computer Sciences Corporation,0.025414266353744292,5551,10,0,0,0,45,0,0,0,2,0,0,23,0,0,0,0,0,0,11,0,32,0,6,0
Altran Technologies SA,0.025370773567553642,7725,13,0,0,0,36,0,2,2,0,0,6,35,0,0,0,0,0,0,18,0,36,1,23,0
Management Consulting Group PLC,0.02534025340767911,3074,6,0,0,0,90,0,1,0,0,0,0,30,0,0,0,0,0,0,17,0,1,0,2,0
Vision IT Group SA,0.02516713798236981,2867,7,0,0,0,1,0,0,0,0,0,2,23,0,0,0,2,0,0,21,0,2,0,24,0
Penna Consulting plc,0.025036452049697823,4915,9,0,0,0,105,0,0,1,0,0,0,49,0,0,0,0,0,0,11,0,0,1,6,0
Beijing Boer Communication Tech Co Ltd,0.02470348877963587,4877,9,0,0,0,1,1,0,0,0,0,2,12,0,0,2,0,0,0,1,0,3,0,5,0
Datatec Ltd.,0.024459370920907345,5124,12,0,0,0,17,0,0,0,0,0,47,39,0,0,0,0,0,0,2,0,0,0,2,0
Digital China Information Service Co Ltd,0.023852035204125953,3978,9,0,0,0,11,0,0,1,0,1,0,49,0,0,0,0,0,0,13,0,20,0,9,0
NV5 Global Inc,0.023720153604363556,5884,10,0,0,0,37,0,0,0,0,0,1,52,0,0,0,2,0,0,17,0,0,1,20,0
Trenders Inc,0.023635473668583738,8423,12,1,0,0,4,0,0,1,0,1,0,35,0,0,0,0,0,0,19,0,8,0,16,0
Alten SA,0.023566818101750046,8155,18,0,0,0,44,0,0,0,0,0,25,39,0,0,0,0,0,2,33,0,6,0,9,0
Infrastructure Developments Corp,0.022975477723131042,2802,7,0,0,0,0,0,0,1,0,0,0,27,0,0,1,0,0,1,10,0,0,0,5,0
MFEC Public Company Limited,0.02269782518371853,4461,9,0,0,0,8,0,0,0,0,0,5,27,0,0,1,0,0,0,9,0,14,0,5,0
Creative Realities Inc,0.022619122214720375,8118,9,0,0,0,4,0,2,1,0,0,1,60,0,0,0,0,0,1,24,0,15,1,12,0
CH2M HILL Companies Ltd,0.022215438580400943,10541,13,0,0,0,24,0,0,0,0,0,1,39,0,0,0,0,0,4,17,0,7,1,13,0
Datalink Corporation,0.02155434316380357,4479,12,0,0,0,7,0,0,15,0,0,0,20,0,0,0,0,0,0,12,0,3,0,11,0
CCID Consulting Company Limited,0.021341347779743662,1740,7,0,0,0,53,0,0,1,0,0,0,35,0,0,0,0,0,0,11,0,0,0,1,0
Freelance.com SA,0.020980695293764496,7815,10,0,0,0,2,0,0,5,0,0,2,81,0,0,0,0,0,3,11,0,30,0,25,0
"AUN CONSULTING, Inc.",0.020923243090041975,5431,13,0,0,0,100,0,0,0,0,0,0,109,0,0,1,0,0,0,5,0,1,0,2,0
Science Applications International Corp,0.020775359292844894,12913,13,0,0,0,3,0,0,1,0,0,6,13,0,0,0,2,0,1,39,0,15,0,28,0
"JAPAN THIRD PARTY CO., LTD.",0.020754253896583273,2387,8,0,0,0,2,0,0,0,0,0,2,19,0,0,0,0,0,3,1,0,20,0,10,0
Nordkom AB,0.020746873360266926,2825,7,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,17,0,25,1,7,0
Ausy,0.020570265488785527,4221,10,0,0,0,1,0,1,0,0,0,4,10,0,0,0,0,0,0,9,0,6,1,37,0
Avanceon Ltd,0.02018759556013115,3991,9,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,15,0,5,4,8,0
Piped Bits Co Ltd,0.01991612101123523,7306,14,1,0,0,0,0,0,0,2,0,0,37,0,0,0,0,0,0,17,0,6,0,10,0
CWORKS Systems Berhad,0.01987400747967061,4115,10,0,0,0,3,0,0,0,0,0,1,31,0,0,0,0,0,3,2,0,33,0,18,0
Seremban Engineering Bhd,0.018965457822847902,3456,8,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,3,7,0,0,0,12,0
Sopra Steria Group,0.018836548890724718,5273,9,0,0,0,59,0,0,0,0,0,2,40,0,0,0,0,0,1,17,0,80,0,16,0
Beyondsoft Corp,0.018803396785906784,3939,12,0,0,0,24,0,0,1,0,0,0,21,0,0,0,0,0,1,14,0,14,0,24,0
Medical Columbus AG,0.018743686089112664,2775,9,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0,0,0,2,0,3,3,7,0
Microdata SARL,0.018698472875111328,4846,8,0,0,0,3,0,0,0,0,0,2,21,0,0,1,0,0,0,8,0,13,0,3,0
Baozun Inc (ADR),0.018620762049235736,4711,10,0,0,0,1,0,0,1,0,0,2,62,0,0,0,2,0,0,20,0,0,0,4,0
Train Travel Holdings Inc,0.018513685290521442,5755,10,0,0,0,12,0,0,0,0,0,0,67,0,0,0,0,0,4,1,0,1,0,4,0
Omnicom Group Inc.,0.01848625474001378,11642,12,0,0,0,2,0,0,0,0,0,0,137,0,0,0,0,0,0,52,0,5,10,5,0
KPS AG,0.018421861507376572,5804,9,0,0,0,51,0,0,0,0,1,0,48,0,0,0,0,0,0,8,0,5,0,5,0
Tianjin Keyvia Electric Co Ltd,0.018406578454187035,2947,7,0,0,0,2,0,0,1,0,0,0,44,0,0,1,0,0,0,9,0,1,0,6,0
Power of the Dream Ventures Inc,0.01817015012304107,3436,7,0,0,0,0,0,0,1,0,0,5,50,0,0,0,0,0,0,21,0,4,1,8,0
ICF International Inc,0.018131763889231187,4213,12,0,0,0,35,0,0,0,1,0,0,36,0,0,0,0,0,0,18,0,3,0,1,0
Groupon Inc,0.0180568917252382,10416,9,0,0,0,3,0,0,12,2,0,0,57,0,0,0,0,0,0,10,0,18,0,9,0
BEKO HOLDING AG,0.017970077041969335,3168,9,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,10,0,5,0,2,0
Engility Holdings Inc,0.017732942994459475,5952,13,0,0,0,14,0,0,0,0,0,3,30,0,0,0,1,0,0,40,0,14,0,12,0
Eco-Shift Power Corp,0.017664459034897384,3179,9,0,0,0,2,0,0,0,0,0,1,53,0,0,0,0,0,0,4,0,2,4,2,0
Brooker Group PCL,0.017283634844700503,4489,10,0,0,0,18,0,0,0,0,0,0,41,0,0,0,1,0,1,13,0,1,0,3,0
Beijing Zhonghaijiyuan Dgtl Tech Dvp Co,0.01724966250000352,425,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0
Borneo Industrial Fishery Corp Inc,0.0170647726281496,13241,11,0,0,0,6,0,2,3,0,0,8,55,0,0,0,0,0,0,36,0,7,0,3,0
Eurocon Consulting AB,0.017056081444876827,2907,9,0,0,0,50,0,0,0,0,0,0,16,0,0,0,0,0,0,9,0,9,0,3,0
Edgewater Technology Inc.,0.016991159130880954,4031,11,0,0,0,43,0,0,0,0,0,1,17,0,0,0,0,0,0,34,0,8,1,1,0
Summit Alliance Port Ltd,0.016924748820248428,3985,7,0,0,0,0,0,0,0,1,0,0,54,0,0,0,0,0,1,5,0,0,0,13,0
"Willdan Group, Inc.",0.016823043035164954,4616,6,0,0,0,22,0,0,0,0,0,0,15,0,0,1,0,0,0,18,0,6,0,1,0
Abakan Inc,0.016547435252718897,4414,7,0,0,0,1,0,1,0,0,0,0,52,0,0,0,0,0,1,7,0,0,2,7,0
Clearstar Inc,0.01624840438269577,2550,11,0,0,0,2,0,2,0,0,0,1,12,0,0,0,0,0,0,5,0,5,0,18,0
Groupe Open S.A.,0.016185194357047274,2974,8,0,0,0,19,0,0,1,0,0,0,28,0,0,0,0,0,1,12,0,1,0,6,0
ICT Automatisering NV,0.016066214596966014,8147,11,0,0,0,0,0,0,0,0,0,21,48,0,0,0,0,0,0,12,0,44,1,19,0
Advance Information Marketing Berhad,0.015934817339730564,3445,8,0,1,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,4,0,5,0,4,0
"TANABE MANAGEMENT CONSULTING CO., LTD.",0.015923792725382847,2584,7,0,0,0,75,0,0,0,0,0,0,33,0,0,0,0,0,0,10,0,0,0,1,0
Bamboo Capital JSC,0.015783634924213828,4956,12,0,0,0,13,0,2,0,0,0,0,35,0,0,0,0,0,1,4,0,2,0,10,0
Petrovietnam Power Engineering Con JSC,0.015658275360155762,5740,10,0,0,0,19,0,0,0,0,0,2,27,0,0,0,0,0,4,2,0,0,0,5,0
Lycos Internet Ltd,0.01563417878083428,6104,12,0,0,0,0,0,3,1,0,0,0,60,0,0,0,0,0,0,14,0,12,0,15,0
Experience Art and Design Inc,0.015629447992792853,3677,10,0,0,0,0,0,0,1,1,0,1,39,0,0,0,0,0,0,11,0,0,1,2,0
A.L.D. Advanced Logistics Developments,0.015343308053154538,5101,13,0,0,0,10,0,0,1,0,0,1,11,0,0,0,0,0,0,14,0,172,0,38,0
United Group For Publishing Adv Mktng,0.015334167571813166,5613,8,0,0,0,1,0,0,2,0,0,0,38,0,0,0,0,0,1,11,0,15,2,6,0
Bureau Veritas SA,0.015202301091891142,10203,13,0,0,0,25,0,0,0,0,0,0,55,0,0,0,0,1,0,31,0,0,0,94,0
Merge Healthcare Inc.,0.015054001809548296,8267,11,0,0,0,17,0,1,0,0,0,4,22,0,0,0,0,0,0,22,0,24,3,29,0
"Quality Systems, Inc.",0.014917969344109834,7841,13,0,0,0,18,0,0,0,0,0,1,33,0,0,0,0,0,1,21,0,44,2,23,0
"B Green Innovations, Inc.",0.014872337355802892,6218,8,1,0,0,0,0,1,0,0,0,0,55,0,0,0,0,0,1,13,0,2,0,13,0
Sino Payments Inc,0.014761519197193087,9167,10,0,0,0,5,0,0,3,0,0,0,114,0,0,0,0,0,2,14,0,35,2,5,0
Business & Decision SA,0.014717913389131263,6175,17,0,0,0,53,0,0,1,0,0,3,46,0,0,0,0,0,0,17,0,6,0,9,0
Yamada Consulting Group Co Ltd,0.014705510254572549,3637,9,0,0,0,70,0,0,0,0,0,0,46,0,0,0,0,0,0,9,0,0,0,3,0
"LD Holdings, Inc.",0.014610626381017844,5413,8,0,0,0,6,0,0,0,0,0,0,51,0,0,0,0,0,0,10,0,39,3,2,0
Abric Berhad,0.014573920157004379,6680,9,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,23,0,2,1,6,0
Actua Corp,0.01430393379727124,8117,12,0,0,0,4,0,1,1,0,0,8,78,0,0,0,0,0,0,8,0,15,0,11,0
PROCAD SA,0.014270541446281617,2188,9,0,0,0,2,0,0,0,0,0,1,22,0,0,0,0,0,1,2,0,23,0,7,0
Kalanit Carmon Services Ltd.,0.014131256027051283,3298,9,0,0,0,4,0,0,1,0,0,0,47,0,0,0,0,0,0,12,0,42,1,6,0
Funai Soken Holdings Inc,0.014127089708104716,3963,10,0,0,0,39,0,1,0,0,0,0,64,0,0,0,0,0,0,15,0,0,0,5,0
Mediaflag Inc,0.013883201214627468,5442,13,1,0,0,0,0,0,1,0,0,2,37,0,0,0,0,0,0,3,0,4,0,3,0
Sinodata Co Ltd,0.01382599771889154,2178,7,0,0,0,5,0,0,1,0,0,0,20,0,0,0,0,0,1,6,0,9,0,1,0
Multiconsult ASA,0.013709666725574717,2862,10,0,0,0,15,0,1,0,0,0,0,27,0,0,0,0,0,0,1,0,1,0,9,0
Verint Systems Inc.,0.013518374024213627,10130,12,0,0,0,3,0,0,0,0,0,1,28,0,0,2,0,0,0,70,0,56,0,8,0
Ramco Systems Ltd,0.013317069425139187,6605,12,0,0,0,3,0,0,0,0,0,3,44,0,0,0,0,0,2,16,0,49,0,10,0
K2 Internet SA,0.01325557628384901,5461,10,0,0,0,5,0,0,1,0,0,3,80,0,0,0,0,0,1,8,0,3,0,7,0
Soellingen Advisory Group Inc,0.013238938074772775,2929,6,0,0,0,20,0,0,1,0,0,0,50,0,0,0,0,0,0,4,0,0,1,4,0
Wison Engineering Services Co Ltd,0.01302813542859862,6295,12,0,0,0,10,0,0,1,1,0,6,11,0,0,0,0,0,0,4,0,4,0,0,0
"Navigant Consulting, Inc.",0.013002559263886387,3092,9,0,0,0,31,0,0,0,0,0,1,82,0,0,0,0,0,0,15,0,0,1,4,0
Diadrom Holding AB,0.012912940912385783,2840,8,0,0,0,6,0,0,0,0,0,0,22,0,0,0,0,0,1,6,0,18,0,6,0
Power Engineering Consulting JSC 3,0.012849722960962548,2444,7,0,0,0,29,0,0,0,0,0,2,15,0,0,0,0,0,1,4,0,0,0,2,0
Samsung SDS Co Ltd,0.012703740173498006,5909,13,0,0,0,17,0,0,0,0,0,4,43,0,0,0,0,0,0,17,0,4,1,9,0
Devoteam SA,0.012501309609727016,4697,12,0,0,0,17,0,1,0,0,0,0,37,0,0,0,0,0,0,16,0,10,0,4,0
Korea Computer & Systems Inc.,0.012404114165059906,4845,11,0,0,0,3,0,0,1,0,0,1,35,0,0,0,0,0,1,14,0,10,0,4,0
CPU Softwarehouse AG,0.012336838568974507,3081,8,0,0,0,14,0,0,0,0,0,0,16,0,0,0,0,0,0,5,0,98,0,3,0
Reditus - SGPS SA,0.012311143856655632,3330,11,0,0,0,7,0,0,2,0,0,3,28,0,0,0,0,0,0,4,0,6,0,7,0
"Document Security Systems, Inc.",0.012307378777397978,6175,12,0,0,0,0,0,1,0,0,0,0,62,0,0,0,0,0,1,71,0,9,3,2,0
Adgorithms Ltd,0.012292085794675056,6268,14,0,1,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,12,0,11,0,21,0
ComArch SA,0.012255224559622165,5844,10,0,0,0,4,0,0,0,0,0,2,30,0,0,1,0,0,0,22,0,31,0,9,0
Infovide Matrix SA,0.012064886133156611,2295,8,0,0,0,14,0,0,1,0,0,2,14,0,0,0,0,0,0,3,0,6,0,1,0
Earth Science Tech Inc,0.012051167180396402,9601,10,0,0,0,0,0,0,1,0,0,24,77,0,0,0,0,0,0,20,0,0,1,30,0
Octo Technology SA,0.012032491897298384,4598,12,0,0,0,13,0,0,0,0,0,6,20,0,0,0,0,0,0,24,0,11,0,15,0
Amec Foster Wheeler PLC,0.011976910713082557,5988,9,0,0,0,13,0,0,0,0,0,2,57,0,0,0,0,0,2,20,0,1,0,6,0
Realtech AG,0.011939537567432853,1840,6,0,0,0,10,0,0,2,0,0,1,8,0,0,0,0,0,0,16,0,13,0,1,0
Business Brain Showa Ota Inc,0.011877172001990207,4605,9,0,0,0,21,0,0,0,0,0,7,39,0,0,0,0,0,0,6,0,15,0,4,0
Glintt Global Intelligent Technologis SA,0.011852322461532835,4616,12,0,0,0,30,0,1,0,0,0,2,31,0,0,0,0,0,0,12,0,16,0,2,0
EPAM Systems Inc,0.011788076974772325,6863,10,0,0,0,15,0,1,0,0,0,2,19,0,0,0,0,0,0,8,0,77,0,56,0
Ad-Sol Nissin Corp.,0.011631545955508672,3491,8,0,0,0,4,0,1,0,0,0,2,23,0,0,0,0,0,0,8,0,32,0,5,0
Triis Inc,0.01147179201561194,6993,13,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,13,0,6,1,27,0
Athena Global Technologies Ltd,0.011398548385065167,7852,13,0,0,0,30,0,2,0,0,0,0,61,0,0,0,0,0,0,18,0,28,0,93,0
Fluor Corporation (NEW),0.01136865381807833,8789,13,0,0,0,5,0,0,0,0,0,2,31,0,0,0,0,0,2,18,0,0,3,3,0
"DHC Software Co., Ltd",0.011262528519342235,1545,6,0,0,0,4,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,58,0,1,0
Pharma Bio Serv Inc,0.011213522511949528,5981,11,0,0,0,36,0,0,1,0,0,4,30,0,0,0,0,0,0,3,0,0,0,13,0
KANEMATSU ELECTRONICS LTD.,0.01120109803684528,1532,7,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,6,1,4,0
Sigmaxyz Inc,0.011085943944038501,3557,8,0,0,0,13,0,1,0,0,0,0,38,0,0,0,0,0,0,12,0,2,0,4,0
Zalaris ASA,0.010987770310067372,2831,11,0,0,0,38,0,0,0,0,0,2,22,0,0,0,0,0,0,4,0,2,0,7,0
Cni Research Ltd,0.010935397302923092,6935,12,0,0,0,0,0,2,11,0,0,0,93,0,0,0,0,0,0,21,0,0,0,12,0
Jsti Group,0.010864640191263479,8343,9,0,0,0,9,0,0,0,0,0,0,40,0,0,0,0,0,1,23,0,0,3,269,0
adesso AG,0.010785429148085368,3117,8,0,0,0,18,0,0,0,0,0,0,24,0,0,0,0,0,0,5,0,63,0,4,0
Looksmart Group Inc,0.010705152004072427,15264,13,0,0,0,1,0,0,1,0,0,0,154,0,0,0,2,0,1,35,0,13,0,6,0
SII S.A.,0.010656131415831162,2036,7,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,13,0,17,0,6,0
Phoenix IT Group Ltd,0.010625165671045966,3967,8,0,0,0,0,0,0,2,1,0,0,27,0,0,0,0,0,0,7,0,1,0,3,0
Jetwell Computer Co Ltd,0.010590399213296915,3480,9,0,0,0,4,0,0,0,0,0,0,44,0,0,0,0,0,2,2,0,7,0,7,0
Itera ASA,0.010578687810242501,3616,8,0,0,0,30,0,0,0,0,0,0,16,0,0,0,0,0,1,1,0,2,0,3,0
Tianjin Tenio Archtr and Eng Co Ltd,0.010472929983186885,6111,13,0,0,0,5,0,2,0,0,0,1,8,0,0,0,0,0,0,8,0,0,0,3,0
Morneau Shepell Inc,0.010382056954073057,4970,8,0,0,0,54,0,0,0,0,0,1,20,0,0,0,0,0,0,5,0,12,0,4,0
TTL Information Technology AG,0.010372774981071625,1591,8,0,0,0,4,0,0,3,0,0,0,17,0,0,0,0,0,0,11,0,0,0,4,0
DGA SA,0.010310534290709774,4978,8,0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,20,0,11,2,3,0
Scientific Games Corp,0.010296322536004932,3967,8,0,0,0,0,0,1,1,0,0,0,25,0,0,0,0,0,0,6,0,23,1,2,0
GFI Informatique SA,0.010156884985141718,5097,10,0,0,0,19,0,0,0,0,0,5,49,0,0,0,0,0,0,18,0,29,0,3,0
Qualitech PCL,0.009979427402696833,2426,6,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,6,0,1,2,25,0
Morgan Sindall Group PLC,0.009897610261895467,4028,7,0,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0,2,6,0,9,0,8,0
artec technologies AG,0.009877966251214823,6679,11,0,0,0,0,0,0,0,0,0,2,13,0,0,0,1,0,0,22,0,32,1,16,0
Zungwon En-Sys Inc,0.009863850859226433,3139,8,0,0,0,4,0,0,0,0,0,0,40,0,0,0,0,0,1,12,0,5,0,4,0
Beijing Vsoon Inf and Tech Co Ltd,0.009810599673539212,5783,9,1,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,19,0,15,0,5,0
HPT Vietnam Corp,0.009795051775332447,2362,10,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,2,7,0,13,0,2,0
GP Strategies Corp,0.009749433006287186,7117,11,0,0,0,22,0,0,0,0,0,0,12,0,0,0,0,0,1,61,0,3,1,4,0
Acando AB,0.009726733776770401,3304,10,0,0,0,22,0,0,0,0,0,2,17,0,0,0,0,0,0,5,0,11,0,10,0
Malam Team Ltd,0.009547044964177267,4478,14,0,0,0,11,0,0,0,0,0,4,20,0,0,0,0,0,0,11,0,49,0,1,0
Mood Media Corp,0.009479640308759953,5714,12,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,18,0,1,4,4,0
"Initech Co., Ltd.",0.009462360463224559,2383,12,0,0,0,5,0,0,1,0,0,1,21,0,0,0,0,0,0,6,0,16,0,5,0
Gannett Co Inc,0.00930721379461745,5925,10,0,0,0,0,0,0,0,0,1,2,37,0,0,0,0,0,0,5,0,5,0,2,0
Atende SA,0.009298365211124732,4506,8,0,0,0,7,0,0,0,0,0,4,19,0,0,0,0,0,0,12,0,30,0,10,0
"CTI Engineering Co., Ltd.",0.009278261498318332,4871,10,0,0,0,15,0,0,0,0,0,6,43,0,0,0,0,0,0,18,0,1,0,10,0
Internet Media Services SA,0.00915957354660391,9970,9,0,0,0,0,0,2,0,0,0,1,29,0,0,0,0,0,1,40,0,26,0,8,0
Cybercom Group AB,0.009048922024490811,4700,12,0,0,0,8,0,0,0,0,0,2,12,0,0,0,0,0,0,6,0,8,1,18,0
Tongyang Networks Corp,0.009022130902356842,4168,8,0,0,0,8,0,0,1,0,0,0,25,0,0,0,0,0,1,5,0,4,0,4,0
Interpublic Group of Companies Inc,0.008992785118495345,8161,10,0,0,0,6,0,0,0,0,0,1,159,0,0,0,0,0,0,30,0,0,4,3,0
MICROS Systems Inc,0.008942140166474783,8440,12,0,0,0,2,0,0,0,0,0,0,39,0,0,0,0,0,0,37,0,46,4,9,0
Volvere PLC,0.008914452415993247,12940,9,0,0,0,43,0,0,1,0,0,0,49,0,0,0,0,0,1,48,0,6,1,6,0
Taiji Computer Corporation Limited,0.008902616783909039,3616,8,0,0,0,28,0,0,1,0,0,0,23,0,0,0,0,0,0,5,0,12,0,3,0
"Future Architect, Inc.",0.008865401799969056,7325,12,0,0,0,32,0,1,1,0,0,2,18,0,0,0,0,0,0,17,0,5,0,3,0
ISC Business Technology AG,0.008852151345567974,3383,8,0,0,0,13,0,0,2,0,0,0,29,0,0,0,0,0,0,5,0,14,0,7,0
Remi Sales & Engg Ltd,0.008828620308346176,4418,12,0,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,17,0,0,1,24,0
"Fujian Rongji Software Co., Ltd.",0.008628105391644048,3769,9,0,0,0,1,0,0,1,0,0,0,67,0,0,0,0,0,0,14,0,81,0,7,0
Broadcasting System of Niigata Inc,0.008609076867407554,2581,9,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,0,1,4,0,4,0,3,0
CGS International Incorporation,0.008482728960417308,6035,13,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,0,1,10,0,57,0,11,0
Axcelasia Inc,0.008225864174863465,4400,14,0,0,0,17,0,0,0,0,0,0,37,0,0,0,0,0,0,13,0,3,1,8,0
China Railway Signal and Communictn Corp,0.00819305748755057,3264,9,0,0,0,4,0,0,1,0,0,1,24,0,0,0,0,0,1,13,0,0,0,2,0
INTREorg Systems Inc,0.008182805617827067,2992,9,0,0,0,29,0,0,0,0,0,0,33,0,0,0,0,0,0,5,0,26,0,2,0
MITCON Consultancy & Engineering Svs Ltd,0.008106084997853695,7490,10,0,0,0,67,0,0,0,0,0,1,50,0,0,0,0,0,0,21,0,0,0,11,0
