name,score,document_length,url_count,accessories,acp,board test,consulting,dc power,dram,flash,foundry,infinity,logic,market,mmw,parametric,power system,radar,reliability test,repair,rf,signal integrity,software,specialty,test,vacuum system
Medical Marijuana Inc,0.00433480832643039,7464,13,0,0,0,2,0,0,0,0,0,1,52,0,0,0,0,0,1,4,0,0,1,14,0
Top Resource Conservation Engineering,0.004312129600282188,5402,8,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,25,0,2,1,6,0
Medicine Man Technologies Inc,0.004234765148639478,6113,12,0,0,0,34,0,0,0,0,0,0,38,0,0,0,0,0,0,14,0,1,0,6,0
John Wood Group PLC,0.0042187403384530715,4956,9,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,5,0,4,0,10,0
Fortune Indonesia Tbk PT,0.004209631048544777,4454,9,0,0,0,3,0,0,0,0,0,0,107,0,0,0,0,0,0,6,0,0,1,15,0
Osangjaiel Co Ltd,0.004136679494887069,3338,9,0,0,0,11,0,0,0,0,0,0,42,0,0,0,0,0,0,15,0,10,0,6,0
Kamalakshi Finace Corporation Ltd,0.004123772425491149,6085,9,0,0,0,2,0,2,0,0,0,0,33,0,0,0,0,0,0,2,0,0,0,5,0
"ValueCommerce Co., Ltd.",0.004118550210743124,3610,12,0,0,0,6,0,0,1,0,0,1,78,0,0,0,0,0,0,20,0,0,0,7,0
Institut Igh dd,0.004106390306866244,2966,9,0,0,0,6,0,0,0,0,0,2,21,0,0,0,0,0,0,5,0,2,0,9,0
Euroconsultants S.A.,0.004099561828426808,1087,8,0,0,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,2,0
Venustech Group Inc,0.004098401803708125,4007,9,0,0,0,8,0,0,1,0,0,0,43,0,0,0,0,0,0,25,0,9,0,3,0
Green Energy Mgmt Serv Hldgs Inc,0.004027044217478677,6345,10,0,0,0,11,0,0,2,0,0,0,38,0,0,0,0,0,0,17,0,19,0,3,0
NTT Com Security AG,0.0039824322410259485,3752,9,0,0,0,15,0,0,0,0,0,1,17,0,0,0,0,0,0,14,0,4,0,2,0
Gresham Computing plc,0.003975691530722024,3080,8,0,0,0,10,0,0,0,0,0,0,25,0,0,0,0,0,0,6,0,9,0,4,0
ReachLocal Inc.,0.003958675209954819,6140,11,0,0,0,1,0,0,0,0,0,0,149,0,0,0,0,0,0,24,0,23,1,3,0
Full Speed Inc.,0.0039536338612577845,3205,7,0,0,0,7,0,0,0,0,0,2,51,0,0,0,0,0,0,6,0,4,0,2,0
Cosmos Holdings Inc,0.003936986691515015,3242,9,0,0,0,1,0,0,3,0,0,0,76,0,0,0,0,0,0,9,0,0,0,3,0
Knowit AB,0.003931174379797504,2065,8,0,0,0,9,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,3,0,6,0
China TransInfo Technology Co Ltd,0.003920481927497009,3786,9,0,0,0,6,0,0,1,0,0,0,47,0,0,0,0,0,0,14,0,11,0,4,0
CE Management Integrated Laboraty Co Ltd,0.003916840266142919,4388,10,0,0,0,0,0,0,0,0,0,5,74,0,0,0,0,0,0,12,0,0,0,24,0
AtmanCo Inc,0.0039079917960459796,5582,13,0,0,0,7,0,0,0,0,0,2,84,0,0,0,0,0,0,14,0,10,0,40,0
Eficom-Sinersio SA,0.0039053306523701586,4326,9,0,0,0,8,0,0,0,0,0,1,18,0,0,0,0,0,0,7,0,1,0,3,0
Nyherji hf,0.0038870449337839123,2919,11,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,24,0,2,0
Mattersight Corp,0.0038077205798398425,5451,10,0,0,0,5,0,0,0,0,0,2,20,0,0,0,0,0,0,12,0,11,0,9,0
Dex Media Inc,0.0037920535162212347,7532,12,0,0,0,0,0,1,0,0,0,0,70,0,0,0,0,0,0,13,0,17,0,6,0
"Shenzhen Sunwin Intelligent Co.,Ltd.",0.0037610912967602867,3056,8,0,0,0,5,0,0,1,0,0,0,31,0,0,0,0,0,0,12,0,5,0,5,0
PCI-Suntek Technology Co Ltd,0.003758855190463259,3992,9,0,0,0,4,0,0,1,0,0,0,35,0,0,0,0,0,0,9,0,14,0,4,0
NEC Networks & System Integration Corp,0.003715408967185496,4001,10,0,0,0,6,0,0,0,0,0,2,10,0,0,0,0,0,0,4,0,10,0,3,0
Genpact Limited,0.003665157825232773,5992,13,0,0,0,12,0,0,1,0,0,1,32,0,0,0,0,0,0,14,0,2,0,4,0
asknet AG,0.0036184366288721727,1716,10,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,6,0,27,0,5,0
Primeserv Group Limited,0.0034897659700438566,4201,13,0,0,0,14,0,0,0,0,0,1,18,0,0,0,0,0,0,40,0,2,0,3,0
Hill International Inc,0.003481764113321732,16947,12,0,0,0,38,0,0,0,0,0,0,26,0,0,0,0,0,3,12,0,2,1,24,0
HAKUHODO DY HOLDINGS INCORPORATED,0.0034515617485715118,2613,10,0,0,0,5,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,1,11,0
